행정동,쓰레기통_개수,세대수,1인 가구수,전체점포수,쓰레기배출량,면적_km2
가양1동,51,40856,11124,1371,1348.17,4.7
가양2동,11,15340,3804,72,602.41,1.0
가양3동,15,14717,3075,52,186.29,0.5
공항동,24,26832,5412,371,45.69,10.87
등촌1동,10,27843,6130,344,28.63,0.64
등촌2동,12,16677,2443,120,52.0,0.92
등촌3동,16,29256,5406,419,109.63,0.79
발산1동,19,26256,2518,514,2684.3,2.94
방화1동,16,32520,4795,425,1315.63,1.48
방화2동,14,23991,5268,371,1057.18,6.41
방화3동,10,21578,4386,116,552.88,2.55
염창동,16,32259,3165,277,91.29,1.74
우장산동,11,32458,3841,264,1532.67,1.36
화곡1동,24,54209,11395,669,5894.88,1.12
화곡2동,3,15816,2784,88,1862.25,0.45
화곡3동,5,18760,3096,279,1061.68,0.53
화곡4동,6,18554,3528,296,1370.68,0.82
화곡6동,16,26169,4495,499,1676.46,1.11
화곡8동,2,22272,4157,264,739.44,0.53
화곡본동,6,33325,6607,314,2763.78,0.98
