,정류장번호,경도,위도,정류장명,행정동
0,15377,126.8384868,37.52984584,신월동기점,화곡1동
3,16005,126.8615537,37.5526278,등촌중학교 백석초등학교,등촌1동
5,16007,126.8557819,37.55475649,강서구청사거리.서울디지털대학교,등촌1동
7,16009,126.8504631,37.55660072,KBS스포츠월드,등촌3동
9,16011,126.8454938,37.55785315,한국가스기술공사,등촌3동
11,16013,126.8391584,37.55849077,발산역,등촌3동
21,16100,126.8409158,37.53779409,화원중학교,화곡1동
23,16103,126.8616543,37.55270361,백석초등학교.한국임업진흥원,등촌1동
25,16105,126.8559084,37.55489541,KC대학교.화진코스메틱,등촌1동
29,16109,126.8439052,37.55816464,등촌주공5단지아파트,등촌3동
30,16111,126.8392815,37.558627,발산역4번출구,등촌3동
53,16135,126.8542039,37.55892751,가양역.마포중고등학교,등촌1동
54,16136,126.8541936,37.55955916,가양역.마포중고등학교,등촌3동
55,16137,126.8534483,37.55752808,경복비즈니스고등학교,등촌1동
56,16138,126.853122,37.55766284,경복비즈니스고등학교,등촌3동
61,16143,126.8452748,37.54608728,한국폴리텍1.서울강서대학교,화곡본동
64,16146,126.8432514,37.54334348,화곡본동시장,화곡본동
65,16147,126.8388542,37.54103075,화곡역,화곡1동
66,16148,126.8371073,37.54087787,화곡역,화곡3동
67,16149,126.8354477,37.54011144,화곡푸르지오,화곡1동
68,16150,126.834479,37.54015064,화곡푸르지오,화곡3동
96,16178,126.8635117,37.53276273,목동사거리,화곡4동
97,16179,126.8636088,37.53163377,목동사거리,화곡4동
98,16180,126.8588539,37.53183633,화곡동남부시장,화곡4동
99,16181,126.8575906,37.53151222,성석교회,화곡2동
100,16182,126.853087,37.53111563,서울신정초등학교,화곡2동
101,16183,126.8524357,37.5308544,서울신정초등학교,화곡2동
102,16184,126.8498334,37.53080517,화곡8동주민센터,화곡8동
103,16185,126.8488201,37.53058851,화곡8동주민센터.까치산시장,화곡8동
104,16186,126.8475167,37.52997229,KT강서지사,화곡1동
105,16187,126.8478811,37.52995383,KT강서지사,화곡8동
106,16188,126.844302,37.530479,화곡동유림아파트,화곡1동
107,16189,126.8442552,37.53030144,화곡동유림아파트,화곡1동
108,16190,126.8378394,37.53096322,황외과앞,화곡1동
109,16191,126.8468456,37.53177067,까치산역2번출구,화곡8동
110,16192,126.8461928,37.53223863,까치산역4번출구,화곡1동
111,16193,126.8427421,37.53258371,화곡동백구사,화곡1동
112,16194,126.8407082,37.53233409,화곡동백구사,화곡1동
113,16195,126.838757,37.53309827,화곡대림아파트,화곡1동
114,16196,126.8383895,37.53404392,화곡동대림아파트.화곡중앙시장,화곡1동
115,16197,126.837192,37.5367735,가로공원.나누리병원,화곡1동
116,16198,126.8368737,37.53743987,가로공원.나누리병원,화곡1동
117,16199,126.8364507,37.53682654,가로공원.나누리병원,화곡1동
118,16200,126.8362927,37.53717865,가로공원.나누리병원,화곡1동
119,16202,126.840433,37.537977,화원중학교,화곡1동
120,16203,126.8389691,37.5386349,신월초등학교,화곡1동
121,16204,126.8394912,37.53896541,신월초등학교,화곡1동
122,16205,126.8409451,37.54064792,화곡역.현대주유소,화곡1동
123,16206,126.8411221,37.54095273,화곡역,화곡본동
125,16208,126.8388886,37.54292941,화곡역,화곡3동
127,16210,126.8373132,37.54452489,대원시장,화곡3동
128,16211,126.8361316,37.54717968,화곡중고등학교,화곡3동
137,16220,126.8389703,37.56017015,발산역3번출구,등촌3동
138,16221,126.839465,37.562868,서울호서전문학교.등촌주공3단지아파트,등촌3동
139,16222,126.839755,37.562662,서울호서전문학교.등촌주공3단지아파트,등촌3동
140,16223,126.8404735,37.56489336,서울강서우체국,등촌3동
168,16251,126.8654574,37.55506527,태영.삼성한사랑아파트,등촌1동
170,16253,126.8637439,37.55624283,블루나인비지니스센터.이마트,등촌1동
173,16256,126.8617195,37.55723078,강서소방서.이마트.증미역,등촌1동
174,16257,126.8563498,37.56021961,가양역.현대프린스텔,등촌1동
176,16259,126.8539737,37.56145209,가양역.우성아파트,등촌3동
179,16262,126.849849,37.5636591,SBS공개홀,등촌3동
182,16265,126.848394,37.56440514,등촌동대림아파트,등촌3동
199,16282,126.8530559,37.56191051,가양역10번출구,등촌3동
206,16291,126.8456832,37.55989166,등촌3동천주교회,등촌3동
207,16292,126.8460351,37.5599579,등촌3동천주교회,등촌3동
208,16293,126.84519,37.561745,등촌3동5단지아파트.등촌고등학교,등촌3동
209,16294,126.8455808,37.56177301,등촌3동5단지아파트.등촌고등학교,등촌3동
210,16295,126.8430372,37.56240403,등촌3동주공4단지아파트,등촌3동
211,16296,126.8431058,37.56260957,등촌동부영아파트,등촌3동
212,16297,126.8474153,37.56196643,등촌3동주공10단지아파트,등촌3동
213,16298,126.8472923,37.5623231,등촌3동대림아파트,등촌3동
232,16325,126.8399047,37.55939918,발산역원당사거리,등촌3동
235,16328,126.8390315,37.53012593,강서한방병원,화곡1동
236,16329,126.8393407,37.52999299,강서한방병원,화곡1동
240,16334,126.8432439,37.56584647,등촌주공1.2단지,등촌3동
241,16335,126.8425802,37.56383165,등촌2단지부영아파트,등촌3동
242,16336,126.8417743,37.56167516,등촌3.4단지,등촌3동
243,16337,126.8391468,37.55967839,발산역3번출구,등촌3동
246,16341,126.8459178,37.54712167,제일성심병원,화곡본동
249,16344,126.850602,37.561643,등촌주공9단지,등촌3동
250,16345,126.850182,37.559912,강서구민올림픽체육센터,등촌3동
251,16346,126.848477,37.560553,등촌주공6단지,등촌3동
252,16347,126.846958,37.561208,등현초등학교,등촌3동
257,16354,126.8420053,37.561616,등촌주공3.4단지,등촌3동
258,16355,126.843218,37.5641614,부영주공1단지,등촌3동
