시설물라벨명칭,시설물종류명,시설물용도분류명,시설물물품구분,지번주소명,도로명주소명,경도,위도,좌표,사용유형분류명,시설물상태,접속포트,시설물설치일,센터분류명,지구분류명,아이콘지아이에스표출여부,이전전시설물유형,번호인식카메라여부,완제품구분,비상벨현장단말전화번호,비상벨센터단말전화번호,관리지역분류명,비상벨여부,경찰지구대,등록일시,수정일시,행정동분류명,행정동,씨씨티브이방향각지원여부,관리번호,행정동명
C181042(SC142) - 마곡서로 연결녹지40호 앞,CTV,POC,방범용,마곡동 323-6 ,마곡서로 연결녹지40호 앞,126.8242006,37.57158452,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,Y,C181042,
C181037(SC105) - 마곡중앙3로 N3(종교 부지) 앞 삼거리,CTV,POC,방범용,마곡동 725-60 ,마곡중앙3로 N3(종교 부지) 앞 삼거리,126.8186764,37.56297426,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150062000.0,,Y,C181037,
C181038(SC107) - 마곡서1로 111-15단지 건너편,CTV,POC,방범용,마곡동 731-120 ,마곡서1로 111-15단지 건너편,126.8174734,37.56668985,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150063000.0,,Y,C181038,
C181039(SC117) - 마곡서1로와 공항대로 교차 사거리,CTV,POC,방범용,마곡동 730-314 ,마곡서1로와 공항대로 교차 사거리,126.8199303,37.56018283,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150062000.0,,Y,C181039,
C181057(SC113) - 마곡서1로 근린공원3호 하단부,CTV,POC,방범용,마곡동 730-611 ,마곡서1로 근린공원3호 하단부,126.820029,37.5554986,0.0,Y,0.0,,2017-06-30,KSG,77.0,Y,,N,S,181057,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150061100.0,,Y,C181057,
C181041(SC141) - 마곡서로 185-1,CTV,POC,방범용,마곡동 317-1 ,마곡서로 185-1,126.8252937,37.57091702,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,Y,C181041,
C181043(SC143) - 양천로30길 연결녹지38호 앞,CTV,POC,방범용,마곡동 222-41 ,양천로30길 연결녹지38호 앞,126.822772,37.57302974,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,Y,C181043,
C181038(SC107) - 마곡서1로 111-15단지 건너편(보조1) (9시 방화대로),CTV,POC,방범용,마곡동 731-120,마곡서1로 111-15단지 건너편,126.8174734,37.56668985,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150063000.0,,N,C181038,
C181042(SC142) - 마곡서로 연결녹지40호 앞(보조1) (11시 신안빌라1동),CTV,POC,방범용,마곡동 323-6 ,마곡서로 연결녹지40호 앞,126.8242006,37.57158452,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,N,C181042,
C181043(SC143) - 양천로30길 연결녹지38호 앞(보조1) (6시 마곡동 우편취급국),CTV,POC,방범용,마곡동 222-41 ,양천로30길 연결녹지38호 앞,126.822772,37.57302974,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,N,C181043,
C181041(SC141) - 마곡서로 185-1(보조1) (7시엠벨리4단지),CTV,POC,방범용,마곡동 317-1 ,마곡서로 185-1,126.8252937,37.57091702,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150060300.0,,N,C181041,
C181039(SC117) - 마곡서1로와 공항대로 교차 사거리(보조1) (3시 마곡역),CTV,POC,방범용,마곡동 730-314 ,마곡서1로와 공항대로 교차 사거리,126.8199303,37.56018283,0.0,Y,0.0,,2016-07-01,KSG,77.0,Y,,N,S,,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150062000.0,,N,C181039,
C181057(SC113) - 마곡서1로 근린공원3호 하단부(보조1) (12시 반야정사),CTV,POC,방범용,마곡동 730-611 ,마곡서1로 근린공원3호 하단부,126.820029,37.5554986,0.0,Y,0.0,,2017-06-30,KSG,77.0,Y,,N,S,181057,777002.0,KSG,N,,2016-07-28 02:08:00,2020-10-14 15:15:00,1150061100.0,,N,C181057,
