행정동,일반주택 2019,일반주택 2020,공동주택 2019,공동주택 2020,소형음식점 2019,소형음식점 2020,사업장 2019,사업장 2020
가양1동,399610,925380,220170,422790,0,0,0,0
가양2동,1570,31240,297520,571170,0,0,0,0
가양3동,4820,181270,0,5020,0,0,0,0
공항동,13980,35890,0,0,0,9800,0,0
김포공항내,35760,6060,0,0,0,0,28990,1170
등촌1동,20210,28630,0,0,0,0,0,0
등촌2동,13110,43240,0,0,0,8760,0,0
등촌3동,11470,41550,252760,63060,0,5020,0,0
마곡동,70840,26400,0,0,0,0,0,0
마곡지구,44250,0,50280,5290,0,0,0,0
발산1동,783460,1396930,207310,790170,0,0,227690,497200
방화1동,662920,1060750,129950,254880,0,0,0,0
방화2동,567820,916950,80950,140230,0,0,0,0
방화3동,218430,444500,203860,108380,0,0,0,0
염창동,29180,76840,0,0,0,14450,0,0
우장산동,492780,1532670,52950,0,0,0,0,0
화곡1동,1088770,5893150,0,0,0,1730,0,0
화곡2동,579110,1862250,0,0,0,0,0,0
화곡3동,404790,994380,0,67300,0,0,0,0
화곡4동,378630,1370680,0,0,0,0,0,0
화곡6동,459490,1676460,0,0,0,0,0,0
화곡8동,195140,739440,0,0,0,0,0,0
화곡본동,861220,2763780,0,0,0,0,0,0
업체혼합,337970,2618890,15410,14830,0,0,0,0
