연번,년월,시군구,행정동,쓰레기종류,배출량(톤),데이터기준일자,
1.0,201201.0,서울특별시 마포구,공덕동,생활,266.42,45322.0,
2.0,201201.0,서울특별시 마포구,공덕동,사업장생활계,0.0,45322.0,
3.0,201201.0,서울특별시 마포구,공덕동,음식물,174.43,45322.0,
4.0,201201.0,서울특별시 마포구,공덕동,재활용품,100.02,45322.0,
5.0,201201.0,서울특별시 마포구,도화동,생활,121.2,45322.0,
6.0,201201.0,서울특별시 마포구,도화동,사업장생활계,5.0,45322.0,
7.0,201201.0,서울특별시 마포구,도화동,음식물,79.35,45322.0,
8.0,201201.0,서울특별시 마포구,도화동,재활용품,58.519999999999996,45322.0,
9.0,201201.0,서울특별시 마포구,서교동,생활,458.44,45322.0,
10.0,201201.0,서울특별시 마포구,서교동,사업장생활계,0.0,45322.0,
11.0,201201.0,서울특별시 마포구,서교동,음식물,300.16,45322.0,
12.0,201201.0,서울특별시 마포구,서교동,재활용품,177.46,45322.0,
13.0,201201.0,서울특별시 마포구,상암동,생활,163.9075,45322.0,
14.0,201201.0,서울특별시 마포구,상암동,사업장생활계,0.0,45322.0,
15.0,201201.0,서울특별시 마포구,상암동,음식물,93.0,45322.0,
16.0,201201.0,서울특별시 마포구,상암동,재활용품,19.990000000000002,45322.0,
17.0,201201.0,서울특별시 마포구,서강동,생활,180.9075,45322.0,
18.0,201201.0,서울특별시 마포구,서강동,사업장생활계,0.0,45322.0,
19.0,201201.0,서울특별시 마포구,서강동,음식물,79.0,45322.0,
20.0,201201.0,서울특별시 마포구,서강동,재활용품,109.08,45322.0,
21.0,201201.0,서울특별시 마포구,성산2동,생활,285.9075,45322.0,
22.0,201201.0,서울특별시 마포구,성산2동,사업장생활계,5.0,45322.0,
23.0,201201.0,서울특별시 마포구,성산2동,음식물,101.0,45322.0,
24.0,201201.0,서울특별시 마포구,성산2동,재활용품,68.89,45322.0,
25.0,201201.0,서울특별시 마포구,합정동,생활,167.9075,45322.0,
26.0,201201.0,서울특별시 마포구,합정동,사업장생활계,0.0,45322.0,
