정류장번호,경도,위도,정류장명,행정동
15377,126.8384868,37.52984584,신월동기점,화곡동
16001,126.8758814,37.5470975,염창역.서울도시가스,염창동
16003,126.8686519,37.5490054,등촌역.강서보건소,염창동
16005,126.8615537,37.5526278,등촌중학교 백석초등학교,등촌동
16006,126.8605244,37.55286538,등촌중학교 백석초등학교,등촌동
16007,126.8557819,37.55475649,강서구청사거리.서울디지털대학교,등촌동
16008,126.8540843,37.55523558,강서구청사거리.서울디지털대학교,화곡동
16009,126.8504631,37.55660072,KBS스포츠월드,등촌동
16010,126.8492332,37.55691183,KBS스포츠월드,화곡동
16011,126.8454938,37.55785315,한국가스기술공사,등촌동
16013,126.8391584,37.55849077,발산역,등촌동
16014,126.8095961,37.56137084,송정역,공항동
16015,126.8110722,37.56134979,송정역,공항동
16016,126.8158008,37.56072469,공항중학교.공항초등학교,공항동
16100,126.8409158,37.53779409,화원중학교,화곡동
16103,126.8616543,37.55270361,백석초등학교.한국임업진흥원,등촌동
16104,126.8601041,37.55295219,등촌중학교.한국임업진흥원,등촌동
16105,126.8559084,37.55489541,KC대학교.화진코스메틱,등촌동
16106,126.8558776,37.55444212,하이웨이주유소.KC대학교,화곡동
16109,126.8439052,37.55816464,등촌주공5단지아파트,등촌동
16111,126.8392815,37.558627,발산역4번출구,등촌동
16115,126.814653,37.56112,공항중학교,공항동
16116,126.8103222,37.56118639,송정역,공항동
16117,126.8090169,37.56167898,송정역,공항동
16118,126.8089272,37.56225193,공항시장,공항동
16119,126.8090745,37.56261351,공항시장,공항동
16120,126.8109494,37.56382489,공항시장역3번출구,공항동
16121,126.811384,37.5647465,공항시장역.공항성산교회,방화동
16122,126.812578,37.566218,방화주유소,방화동
16123,126.811615,37.56697617,방화2동청성아파트앞,방화동
16124,126.8128857,37.56992926,방신전통시장,방화동
16125,126.8114749,37.57002343,방화2동우촌연립,방화동
16126,126.8115903,37.57271878,국민은행방화동지점,방화동
16127,126.8113414,37.57265711,국민은행방화동지점,방화동
16128,126.811733,37.57483,한서고등학교.보람아파트,방화동
16129,126.8114186,37.57481624,한서고등학교.보람아파트,방화동
16130,126.812627,37.576742,방화역,방화동
16131,126.8123587,37.57691187,방화역,방화동
16132,126.813513,37.57913,방화3동주민센터.국립국어원,방화동
16133,126.813233,37.57905966,방화도시7단지.국립국어원,방화동
16134,126.8558158,37.56181749,가양3동도시개발8단지아파트.가양역,가양동
16135,126.8542039,37.55892751,가양역.마포중고등학교,등촌동
16136,126.8541936,37.55955916,가양역.마포중고등학교,등촌동
16137,126.8534483,37.55752808,경복비즈니스고등학교,등촌동
16138,126.853122,37.55766284,경복비즈니스고등학교,등촌동
16139,126.8505842,37.55262795,강서구청.한국건강관리협회,화곡동
16140,126.8501699,37.55266887,강서구청.한국건강관리협회,화곡동
16141,126.8481814,37.55035323,우장초등학교,화곡동
16142,126.8477783,37.54936691,우장초등학교,화곡동
16143,126.8452748,37.54608728,한국폴리텍1.서울강서대학교,화곡동
16144,126.8447321,37.54584327,한국폴리텍1.서울강서대학교,화곡동
16145,126.8426282,37.54317865,화곡본동시장,화곡동
16146,126.8432514,37.54334348,화곡본동시장,화곡동
16147,126.8388542,37.54103075,화곡역,화곡동
16148,126.8371073,37.54087787,화곡역,화곡동
16149,126.8354477,37.54011144,화곡푸르지오,화곡동
16150,126.834479,37.54015064,화곡푸르지오,화곡동
16158,126.815117,37.552778,공항동송정중학교,공항동
16159,126.815368,37.55313,공항동송정중학교,공항동
16160,126.811917,37.555638,국립항공박물관.공항동천주교회,공항동
16161,126.811943,37.555152,국립항공박물관.공항동천주교회,공항동
16162,126.808185,37.559087,공항동지하도입구,공항동
16164,126.8059168,37.5646214,방화중학교,방화동
16165,126.8056215,37.56719893,방화2동주민센터,방화동
16166,126.804202,37.570852,방화동도시개발11단지,방화동
16171,126.8634447,37.53467276,화곡4동주민센터.남부시장,화곡동
16173,126.8633554,37.54898858,영일고등학교.강서도서관,등촌동
16174,126.8621413,37.5451449,아이파크아파트.백석중학교.실로암안과,등촌동
16175,126.8629699,37.54194247,등촌2동주민센터.등촌동대림아파트,등촌동
16176,126.8635679,37.53979135,대일고교.임광아파트.배광교회,등촌동
16177,126.8633458,37.53709721,용문사.시립화곡청소년센터,등촌동
16178,126.8635117,37.53276273,목동사거리,화곡동
16179,126.8636088,37.53163377,목동사거리,화곡동
16180,126.8588539,37.53183633,화곡동남부시장,화곡동
16181,126.8575906,37.53151222,성석교회,화곡동
16182,126.853087,37.53111563,서울신정초등학교,화곡동
16183,126.8524357,37.5308544,서울신정초등학교,화곡동
16184,126.8498334,37.53080517,화곡8동주민센터,화곡동
16185,126.8488201,37.53058851,화곡8동주민센터.까치산시장,화곡동
16186,126.8475167,37.52997229,KT강서지사,화곡동
16187,126.8478811,37.52995383,KT강서지사,화곡동
16188,126.844302,37.530479,화곡동유림아파트,화곡동
16189,126.8442552,37.53030144,화곡동유림아파트,화곡동
16190,126.8378394,37.53096322,황외과앞,화곡동
16191,126.8468456,37.53177067,까치산역2번출구,화곡동
16192,126.8461928,37.53223863,까치산역4번출구,화곡동
16193,126.8427421,37.53258371,화곡동백구사,화곡동
16194,126.8407082,37.53233409,화곡동백구사,화곡동
16195,126.838757,37.53309827,화곡대림아파트,화곡동
16196,126.8383895,37.53404392,화곡동대림아파트.화곡중앙시장,화곡동
16197,126.837192,37.5367735,가로공원.나누리병원,화곡동
16198,126.8368737,37.53743987,가로공원.나누리병원,화곡동
16199,126.8364507,37.53682654,가로공원.나누리병원,화곡동
16200,126.8362927,37.53717865,가로공원.나누리병원,화곡동
16202,126.840433,37.537977,화원중학교,화곡동
16203,126.8389691,37.5386349,신월초등학교,화곡동
16204,126.8394912,37.53896541,신월초등학교,화곡동
16205,126.8409451,37.54064792,화곡역.현대주유소,화곡동
16206,126.8411221,37.54095273,화곡역,화곡동
16207,126.8396792,37.54259798,화곡역1번출구,화곡동
16208,126.8388886,37.54292941,화곡역,화곡동
