동별(1),동별(2),2025 1/4,2019 추정,2020 추정,세대수 합계
종로구,사직동,4562.0,4660,4727,9387
종로구,삼청동,1094.0,1118,1134,2252
종로구,부암동,4120.0,4209,4269,8478
종로구,평창동,7139.0,7293,7397,14690
종로구,무악동,2984.0,3048,3092,6140
종로구,교남동,4302.0,4395,4457,8852
종로구,가회동,1864.0,1904,1931,3835
종로구,종로1.2.3.4가동,4934.0,5040,5112,10152
종로구,종로5.6가동,3547.0,3623,3675,7298
종로구,이화동,4383.0,4477,4541,9018
종로구,창신1동,2664.0,2721,2760,5481
종로구,창신2동,3907.0,3991,4048,8039
종로구,창신3동,2746.0,2805,2845,5650
종로구,숭인1동,3010.0,3075,3119,6194
종로구,숭인2동,6980.0,7130,7232,14362
종로구,청운효자동,4915.0,5021,5093,10114
종로구,혜화동,9236.0,9435,9570,19005
중구,소공동,1244.0,1203,1221,2424
중구,회현동,2486.0,2405,2441,4846
중구,명동,1335.0,1291,1311,2602
중구,필동,2815.0,2723,2764,5487
중구,장충동,2918.0,2822,2865,5687
중구,광희동,3970.0,3840,3898,7738
중구,을지로동,2110.0,2041,2072,4113
중구,신당5동,5416.0,5239,5318,10557
중구,황학동,7884.0,7626,7741,15367
중구,중림동,5934.0,5740,5826,11566
중구,신당동,4681.0,4528,4596,9124
중구,다산동,6747.0,6526,6625,13151
중구,약수동,7687.0,7435,7548,14983
중구,청구동,5650.0,5465,5547,11012
중구,동화동,3986.0,3855,3914,7769
용산구,후암동,8275.0,8827,9065,17892
용산구,용산2가동,4999.0,5333,5476,10809
용산구,남영동,4809.0,5130,5268,10398
용산구,원효로2동,6271.0,6690,6870,13560
용산구,효창동,4718.0,5033,5168,10201
용산구,용문동,5273.0,5625,5776,11401
용산구,이촌1동,9104.0,9712,9973,19685
용산구,이촌2동,3563.0,3801,3903,7704
용산구,이태원1동,3416.0,3644,3742,7386
용산구,이태원2동,4764.0,5082,5219,10301
용산구,서빙고동,5086.0,5425,5572,10997
용산구,보광동,4047.0,4317,4433,8750
용산구,청파동,11187.0,11934,12255,24189
용산구,원효로1동,9398.0,10025,10295,20320
용산구,한강로동,11213.0,11961,12284,24245
용산구,한남동,7113.0,7588,7792,15380
성동구,왕십리2동,7360.0,7560,7561,15121
성동구,마장동,10845.0,11139,11142,22281
성동구,사근동,8339.0,8565,8567,17132
성동구,행당1동,6506.0,6682,6684,13366
성동구,행당2동,9157.0,9405,9407,18812
성동구,응봉동,5899.0,6059,6060,12119
성동구,금호1가동,6420.0,6594,6596,13190
성동구,금호4가동,6377.0,6550,6551,13101
성동구,성수1가1동,7341.0,7540,7542,15082
성동구,성수1가2동,6271.0,6441,6443,12884
성동구,성수2가1동,7424.0,7625,7627,15252
성동구,성수2가3동,4999.0,5135,5136,10271
성동구,송정동,5242.0,5384,5385,10769
성동구,용답동,7840.0,8053,8054,16107
성동구,왕십리도선동,12126.0,12455,12458,24913
성동구,금호2.3가동,9434.0,9690,9692,19382
성동구,옥수동,10673.0,10962,10965,21927
광진구,화양동,18195.0,17533,17853,35386
광진구,군자동,11258.0,10848,11046,21894
광진구,중곡1동,8662.0,8347,8499,16846
광진구,중곡2동,10538.0,10154,10340,20494
광진구,중곡3동,8469.0,8161,8310,16471
광진구,중곡4동,12999.0,12526,12754,25280
광진구,능동,6456.0,6221,6334,12555
광진구,구의1동,13264.0,12781,13014,25795
광진구,구의2동,11470.0,11053,11254,22307
광진구,구의3동,12051.0,11612,11824,23436
광진구,광장동,11844.0,11413,11621,23034
광진구,자양1동,12135.0,11693,11907,23600
광진구,자양2동,11295.0,10884,11082,21966
광진구,자양3동,11001.0,10601,10794,21395
광진구,자양4동,11002.0,10602,10795,21397
동대문구,회기동,6632.0,6228,6357,12585
동대문구,휘경1동,7553.0,7093,7240,14333
동대문구,휘경2동,12879.0,12094,12345,24439
동대문구,청량리동,10013.0,9403,9598,19001
동대문구,용신동,22044.0,20701,21130,41831
동대문구,제기동,13174.0,12371,12628,24999
동대문구,전농1동,16520.0,15513,15835,31348
동대문구,전농2동,7466.0,7011,7157,14168
동대문구,답십리2동,12397.0,11642,11883,23525
동대문구,장안1동,18380.0,17260,17618,34878
동대문구,장안2동,14736.0,13838,14125,27963
동대문구,이문1동,11699.0,10986,11214,22200
동대문구,이문2동,8347.0,7838,8001,15839
동대문구,답십리1동,13006.0,12213,12467,24680
중랑구,면목2동,12139.0,11683,11963,23646
중랑구,면목4동,8904.0,8570,8775,17345
중랑구,면목5동,6334.0,6096,6242,12338
중랑구,면목7동,10516.0,10121,10363,20484
중랑구,상봉1동,10052.0,9675,9906,19581
중랑구,상봉2동,13169.0,12675,12978,25653
중랑구,중화1동,8828.0,8497,8700,17197
중랑구,중화2동,13472.0,12966,13276,26242
중랑구,묵1동,14949.0,14388,14732,29120
중랑구,묵2동,9176.0,8832,9043,17875
중랑구,망우3동,8170.0,7863,8051,15914
중랑구,신내1동,14703.0,14151,14489,28640
중랑구,신내2동,8846.0,8514,8717,17231
중랑구,면목본동,17794.0,17126,17535,34661
중랑구,면목3.8동,12727.0,12249,12542,24791
중랑구,망우본동,18882.0,18173,18608,36781
성북구,돈암1동,6015.0,5881,5966,11847
성북구,돈암2동,8509.0,8319,8440,16759
성북구,안암동,10330.0,10099,10247,20346
성북구,보문동,8128.0,7947,8062,16009
성북구,정릉1동,7310.0,7147,7251,14398
성북구,정릉2동,9757.0,9539,9678,19217
성북구,정릉3동,7955.0,7777,7891,15668
성북구,정릉4동,10768.0,10528,10681,21209
성북구,길음1동,12828.0,12542,12724,25266
성북구,길음2동,8541.0,8350,8472,16822
성북구,월곡1동,10703.0,10464,10617,21081
성북구,월곡2동,9578.0,9364,9501,18865
성북구,장위1동,10601.0,10364,10515,20879
성북구,장위2동,6563.0,6417,6510,12927
성북구,장위3동,6412.0,6269,6360,12629
성북구,성북동,8079.0,7899,8014,15913
성북구,삼선동,11512.0,11255,11419,22674
성북구,동선동,9802.0,9583,9723,19306
성북구,종암동,16958.0,16580,16821,33401
성북구,석관동,16639.0,16268,16505,32773
강북구,번1동,9750.0,9820,9930,19750
강북구,번2동,7443.0,7496,7581,15077
강북구,번3동,7619.0,7674,7760,15434
강북구,수유1동,10481.0,10556,10675,21231
강북구,수유2동,9742.0,9812,9922,19734
강북구,수유3동,13680.0,13778,13933,27711
강북구,삼양동,11647.0,11731,11862,23593
강북구,미아동,11816.0,11901,12034,23935
강북구,송중동,13711.0,13809,13964,27773
강북구,송천동,12143.0,12230,12367,24597
강북구,삼각산동,11507.0,11590,11720,23310
강북구,우이동,9584.0,9653,9761,19414
강북구,인수동,14126.0,14227,14387,28614
도봉구,쌍문1동,9654.0,9620,9662,19282
도봉구,쌍문2동,8430.0,8400,8437,16837
도봉구,쌍문3동,8229.0,8200,8236,16436
도봉구,쌍문4동,7099.0,7074,7105,14179
도봉구,방학1동,12959.0,12913,12969,25882
도봉구,방학2동,9082.0,9050,9089,18139
도봉구,방학3동,9901.0,9866,9909,19775
도봉구,창1동,10965.0,10926,10974,21900
도봉구,창2동,12595.0,12550,12605,25155
도봉구,창3동,6355.0,6332,6360,12692
도봉구,창4동,11313.0,11273,11322,22595
도봉구,창5동,10331.0,10294,10339,20633
도봉구,도봉1동,10222.0,10186,10230,20416
도봉구,도봉2동,11867.0,11825,11877,23702
노원구,월계1동,10079.0,10016,10076,20092
노원구,월계2동,11675.0,11602,11672,23274
노원구,월계3동,12866.0,12786,12863,25649
노원구,공릉2동,17981.0,17869,17976,35845
노원구,하계1동,12686.0,12607,12683,25290
노원구,하계2동,8144.0,8093,8142,16235
노원구,중계본동,7888.0,7839,7886,15725
노원구,중계1동,8921.0,8865,8919,17784
노원구,중계4동,8170.0,8119,8168,16287
노원구,상계1동,15538.0,15441,15534,30975
노원구,상계2동,8508.0,8455,8506,16961
노원구,상계5동,10861.0,10793,10858,21651
노원구,상계8동,9069.0,9013,9067,18080
노원구,상계9동,8352.0,8300,8350,16650
노원구,상계10동,7611.0,7564,7609,15173
노원구,상계3.4동,12421.0,12344,12418,24762
노원구,상계6.7동,13907.0,13820,13903,27723
노원구,중계2.3동,14791.0,14699,14787,29486
노원구,공릉1동,18857.0,18740,18852,37592
은평구,녹번동,17443.0,16798,17302,34100
은평구,불광1동,18166.0,17494,18019,35513
은평구,갈현1동,7224.0,6957,7166,14123
은평구,갈현2동,12766.0,12294,12663,24957
은평구,구산동,13499.0,13000,13390,26390
은평구,대조동,15548.0,14973,15422,30395
은평구,응암1동,15081.0,14523,14959,29482
은평구,응암2동,10981.0,10575,10892,21467
은평구,신사1동,11993.0,11550,11896,23446
은평구,신사2동,8676.0,8355,8606,16961
은평구,증산동,6759.0,6509,6704,13213
은평구,수색동,8533.0,8217,8464,16681
은평구,진관동,21120.0,20339,20949,41288
은평구,불광2동,14116.0,13594,14002,27596
은평구,응암3동,12522.0,12059,12421,24480
은평구,역촌동,21228.0,20443,21057,41500
서대문구,천연동,7625.0,7299,7543,14842
서대문구,홍제1동,11113.0,10638,10993,21631
