정류장번호,경도,위도,정류장명,행정동
15377,126.8384868,37.52984584,신월동기점,화곡1동
16001,126.8758814,37.5470975,염창역.서울도시가스,염창동
16003,126.8686519,37.5490054,등촌역.강서보건소,염창동
16005,126.8615537,37.5526278,등촌중학교 백석초등학교,등촌1동
16006,126.8605244,37.55286538,등촌중학교 백석초등학교,등촌2동
16007,126.8557819,37.55475649,강서구청사거리.서울디지털대학교,등촌1동
16008,126.8540843,37.55523558,강서구청사거리.서울디지털대학교,화곡6동
16009,126.8504631,37.55660072,KBS스포츠월드,등촌3동
16010,126.8492332,37.55691183,KBS스포츠월드,화곡6동
16011,126.8454938,37.55785315,한국가스기술공사,등촌3동
16012,126.843257,37.557872,한국가스기술공사,우장산동
16013,126.8391584,37.55849077,발산역,등촌3동
16014,126.8095961,37.56137084,송정역,공항동
16015,126.8110722,37.56134979,송정역,공항동
16016,126.8158008,37.56072469,공항중학교.공항초등학교,공항동
16017,126.8376109,37.55857335,발산역,우장산동
16018,126.827513,37.559695,마곡역,가양1동
16019,126.8260719,37.55978956,마곡역,가양1동
16020,126.817152,37.560738,공항초등학교.공항중학교,공항동
16021,126.8345854,37.55903464,마곡동로사거리,가양1동
16022,126.8318219,37.55920242,마곡동로사거리,가양1동
16100,126.8409158,37.53779409,화원중학교,화곡1동
16102,126.8349619,37.56838835,서울식물원.식물문화센터,가양1동
16103,126.8616543,37.55270361,백석초등학교.한국임업진흥원,등촌1동
16104,126.8601041,37.55295219,등촌중학교.한국임업진흥원,등촌2동
16105,126.8559084,37.55489541,KC대학교.화진코스메틱,등촌1동
16106,126.8558776,37.55444212,하이웨이주유소.KC대학교,화곡6동
16107,126.8340419,37.56632398,서울식물원.숲문화학교,가양1동
16108,126.833248,37.56178261,LG사이언스파크,가양1동
16109,126.8439052,37.55816464,등촌주공5단지아파트,등촌3동
16111,126.8392815,37.558627,발산역4번출구,등촌3동
16112,126.8394839,37.55821097,발산역5번출구,우장산동
16113,126.817211,37.56077644,공항초등학교,공항동
16115,126.814653,37.56112,공항중학교,공항동
16116,126.8103222,37.56118639,송정역,공항동
16117,126.8090169,37.56167898,송정역,공항동
16118,126.8089272,37.56225193,공항시장,공항동
16119,126.8090745,37.56261351,공항시장,공항동
16120,126.8109494,37.56382489,공항시장역3번출구,공항동
16121,126.811384,37.5647465,공항시장역.공항성산교회,방화2동
16122,126.812578,37.566218,방화주유소,방화1동
16123,126.811615,37.56697617,방화2동청성아파트앞,방화2동
16124,126.8128857,37.56992926,방신전통시장,방화1동
16125,126.8114749,37.57002343,방화2동우촌연립,방화2동
16126,126.8115903,37.57271878,국민은행방화동지점,방화1동
16127,126.8113414,37.57265711,국민은행방화동지점,방화1동
16128,126.811733,37.57483,한서고등학교.보람아파트,방화1동
16129,126.8114186,37.57481624,한서고등학교.보람아파트,방화1동
16130,126.812627,37.576742,방화역,방화3동
16131,126.8123587,37.57691187,방화역,방화3동
16132,126.813513,37.57913,방화3동주민센터.국립국어원,방화3동
16133,126.813233,37.57905966,방화도시7단지.국립국어원,방화3동
16134,126.8558158,37.56181749,가양3동도시개발8단지아파트.가양역,가양2동
16135,126.8542039,37.55892751,가양역.마포중고등학교,등촌1동
16136,126.8541936,37.55955916,가양역.마포중고등학교,등촌3동
16137,126.8534483,37.55752808,경복비즈니스고등학교,등촌1동
16138,126.853122,37.55766284,경복비즈니스고등학교,등촌3동
16139,126.8505842,37.55262795,강서구청.한국건강관리협회,화곡6동
16140,126.8501699,37.55266887,강서구청.한국건강관리협회,화곡6동
16141,126.8481814,37.55035323,우장초등학교,화곡6동
16142,126.8477783,37.54936691,우장초등학교,화곡6동
16143,126.8452748,37.54608728,한국폴리텍1.서울강서대학교,화곡본동
16144,126.8447321,37.54584327,한국폴리텍1.서울강서대학교,우장산동
16145,126.8426282,37.54317865,화곡본동시장,우장산동
