구,상태,폐업일자,면적,경도,위도
성동구,폐업,2025-03-31,120.62,127.05958417659119,37.540058181294405
성동구,폐업,2025-03-24,55.37,127.05178504814616,37.544587655552284
마포구,폐업,2025-05-01,137.73,126.91797037964373,37.5542785770859
종로구,폐업,2020-07-14,21.27,126.98672608215433,37.57121205983932
종로구,폐업,2021-11-02,146.26,126.96865570119016,37.57798824602916
종로구,폐업,2020-03-31,135.0,126.98315328719069,37.57073863070556
종로구,폐업,2021-10-25,36.0,126.98559561114051,37.57220025106597
종로구,폐업,2025-01-16,91.86,126.99890249503095,37.574923477464424
종로구,폐업,2022-06-07,149.04,126.97036480214801,37.57341959409805
종로구,폐업,2020-07-31,101.65,126.96153919000322,37.568609934076555
종로구,폐업,2020-06-02,83.98,126.98650647286911,37.576575875444824
종로구,폐업,2020-06-22,132.16,126.9900062697686,37.56879918308794
종로구,폐업,2020-10-08,133.04,126.97160995285756,37.57114670227885
종로구,폐업,2022-06-27,55.74,126.97587195557493,37.57546183988297
종로구,폐업,2020-12-07,65.22,127.01681205405163,37.57345346139709
종로구,폐업,2023-08-25,53.46,126.97129164962156,37.57236143241186
종로구,폐업,2020-12-16,56.66,126.98748250817165,37.57268063584045
종로구,폐업,2022-11-17,118.93,126.96767200007734,37.57628810122466
종로구,폐업,2020-09-16,99.2,126.99445026320011,37.57312610438372
종로구,폐업,2024-08-20,100.3,126.97696013266717,37.57045889074498
중구,폐업,2022-04-19,80.3,126.96045048425336,37.558962258978475
중구,폐업,2022-04-27,66.46,126.97539765014152,37.56725871225291
중구,폐업,2021-04-29,51.0,126.99566778996862,37.56589206582307
중구,폐업,2022-04-21,149.78,127.01205773421525,37.56423041950738
중구,폐업,2022-09-08,126.14,126.99260194813922,37.5618831526287
중구,폐업,2022-02-28,129.58,126.98211640991146,37.56398180337255
중구,폐업,2023-06-14,111.04,126.98796294823399,37.564938013900715
중구,폐업,2024-10-15,102.28,127.003696589537,37.56462913644266
중구,폐업,2022-04-21,89.94,127.02021655365671,37.56922742051452
중구,폐업,2020-09-01,35.97,126.97502316260396,37.56467030649742
중구,폐업,2022-06-21,139.11,126.96055061508444,37.5588969599657
중구,폐업,2020-06-30,148.49,126.9773626834529,37.56669149157061
중구,폐업,2022-04-28,145.5,127.01108469057155,37.56739462740704
중구,폐업,2022-03-24,60.13,126.97499664688233,37.561918690608614
중구,폐업,2022-06-21,140.0,126.97788352718446,37.56749128877774
중구,폐업,2022-04-28,30.01,126.97683656774315,37.56679388404314
중구,폐업,2022-04-21,90.42,127.01885882860661,37.56531890265656
중구,폐업,2021-07-29,81.38,126.98969580950295,37.56409575876689
중구,폐업,2024-07-29,114.06,127.00023142283672,37.560216392553876
중구,폐업,2020-09-24,148.5,126.97727684223241,37.56778325627471
중구,폐업,2022-06-03,344.3,126.97655132192594,37.56077528278534
중구,폐업,2021-06-16,268.8,126.98506726549289,37.561466777255276
중구,폐업,2022-06-29,87.94,126.97497996175633,37.56364316510288
중구,폐업,2021-03-30,126.56,126.97480647820974,37.56126736256849
중구,폐업,2022-04-25,105.34,126.9759746755945,37.56174427498948
중구,폐업,2022-04-21,78.89,126.97062905354534,37.56311973354212
중구,폐업,2021-04-16,71.79,126.97584552295062,37.563707717057625
용산구,폐업,2024-02-23,116.36,127.00169854623142,37.53322000532556
용산구,폐업,2020-10-06,57.59,126.97075660237743,37.542740268840625
용산구,폐업,2021-07-05,142.45,126.99301881354239,37.534850462701755
용산구,폐업,2025-02-21,93.68,126.96083456052074,37.53481310664098
