구,상태,인허가일자,폐업일자,면적,경도,위도,읍면동
용산구,정상영업,1985-11-12,,7470.17,126.98232123877585,37.5172556579229,용산동6가
광진구,정상영업,2011-10-04,,1162.0,127.0670102433251,37.54350264661168,화양동
은평구,정상영업,2011-09-16,,1508.4,126.91900930470273,37.61860693495705,불광1동
송파구,정상영업,2000-07-13,,17693.0,127.11486125119131,37.491738570839466,문정동
강동구,정상영업,2011-09-27,,1127.88,127.13749542347742,37.55531088261707,암사3동
송파구,정상영업,2011-08-29,,288.0,127.08333681744926,37.510641771957324,잠실3동
강북구,정상영업,2011-08-23,,490.0,127.01604929948925,37.617949466005236,미아동
강남구,정상영업,2014-09-16,,510.88,127.02078377303586,37.509945465975676,논현동
성북구,정상영업,2011-09-08,,331.0,127.01489976112093,37.59787212478675,돈암2동
송파구,정상영업,2012-03-30,,203.3,127.11413100308168,37.52795363500618,풍납2동
송파구,정상영업,2011-09-05,,172.8,127.1062196423701,37.514188956750615,방이2동
송파구,정상영업,2011-08-29,,300.01,127.08012968317699,37.512148145440456,잠실2동
종로구,정상영업,2019-09-17,,25198.02,126.98475456657394,37.57221697499566,낙원동
종로구,정상영업,2019-09-17,,25198.02,126.98475456657394,37.57221697499566,낙원동
종로구,정상영업,1955-07-05,,16128.75,126.99605745634798,37.57005464817025,예지동
종로구,정상영업,2011-08-16,,273.3,127.01328775838935,37.573851704888035,숭인동
종로구,정상영업,2004-12-10,,11750.0,127.00445648252165,37.57060610984493,종로6가
종로구,정상영업,1992-07-04,,6906.53,126.97924145046335,37.5695798364841,서린동
종로구,정상영업,2007-07-04,,9370.53,126.9957766270017,37.57148288658324,인의동
종로구,정상영업,2007-09-07,,3393.77,127.01213974242293,37.57737897010399,창신동
종로구,정상영업,1991-07-31,,55081.94,127.0060223981139,37.57039444707672,종로6가
종로구,정상영업,2003-10-20,,4612.66,127.00522173818904,37.57078101683115,종로6가
종로구,정상영업,2004-04-30,,4674.66,126.97518977011842,37.57058240188763,종로1가
종로구,정상영업,2010-02-18,,8390.2,126.99417337725195,37.57228585723755,인의동
종로구,정상영업,2011-12-20,,432.9,126.97186332603987,37.57048749523897,신문로1가
종로구,정상영업,2003-03-04,,16128.75,126.99605745634798,37.57005464817025,예지동
종로구,정상영업,2004-04-30,,,126.97924145046335,37.5695798364841,서린동
종로구,정상영업,1971-03-25,,1313.0,127.01745478508404,37.572668668533794,숭인동
종로구,정상영업,1987-10-30,,1313.0,127.01745478508404,37.572668668533794,숭인동
중구,정상영업,1964-10-13,,53845.06,126.97506982031939,37.55939313636234,남창동
중구,정상영업,1971-12-30,,10269.89,126.99304914887345,37.56240265486773,충무로4가
중구,정상영업,1980-10-16,,4203.03,127.00910028193479,37.568145315596,신당동
중구,정상영업,2009-09-08,,4097.54,127.01363840840492,37.56743000761679,흥인동
중구,정상영업,1972-09-18,,10041.58,126.99262696872125,37.566757757057125,을지로4가
중구,정상영업,1973-04-10,,78348.39,126.97824871813984,37.56092260884928,충무로1가
중구,정상영업,2006-10-23,,8119.0,127.00967389810876,37.568955081488475,신당1동
중구,정상영업,2010-10-08,,17758.45,127.00767310239294,37.5688231579331,신당1동
중구,정상영업,1970-01-29,,15144.0,127.00484232182069,37.56864344723963,을지로6가
중구,정상영업,2012-08-31,,17356.62,127.00410102394015,37.565761322905054,을지로6가
중구,정상영업,2012-12-27,,11576.19,126.96654626619998,37.556031205337696,봉래동2가
중구,정상영업,1999-09-01,,11576.19,126.96654626619998,37.556031205337696,봉래동2가
중구,정상영업,1979-05-25,,13458.03,127.00902137107705,37.568641970081316,신당1동
중구,정상영업,1998-08-11,,17736.37,127.00542039609577,37.568322240382415,을지로6가
중구,정상영업,1979-04-20,,6775.3,127.00802273611636,37.56917991482462,신당동
중구,정상영업,1980-12-20,,6020.32,126.97334956788117,37.55942198145683,남창동
중구,정상영업,1978-12-22,,7676.86,126.97819950053712,37.56480978484286,소공동
중구,정상영업,2002-06-12,,9067.72,127.00957333700784,37.568118251098504,신당동
중구,정상영업,2019-10-17,,3778.41,126.99247825789257,37.56804797632115,산림동
중구,정상영업,2002-07-22,,13941.72,127.00525272836907,37.56749259122329,을지로6가
중구,정상영업,2004-06-01,,11090.62,126.96669510716418,37.55820072719306,봉래동2가
중구,정상영업,1983-06-03,,12192.28,127.0120569756928,37.56946507485934,신당1동
중구,정상영업,2006-04-14,,18815.13,127.01188887623614,37.569137454731475,신당동
중구,정상영업,2008-06-26,,20144.48,127.01854373612623,37.570978222747556,황학동
중구,정상영업,2008-07-18,,27653.82,127.01854373612623,37.570978222747556,황학동
중구,정상영업,2008-08-27,,5835.93,126.98227171919721,37.56249976149008,명동2가
중구,정상영업,1962-02-23,,24483.79,127.00519514120838,37.56946499109677,을지로6가
중구,정상영업,2002-01-15,,21481.63,126.98000051200617,37.56341328305386,명동2가
중구,정상영업,2008-09-16,,40302.01,127.00439089841292,37.56687321815724,을지로6가
용산구,정상영업,2012-03-23,,181.89,127.00277606723054,37.532116450321794,한남동
용산구,정상영업,2014-07-31,,121.7,126.96897500999947,37.542217828417236,남영동
용산구,정상영업,1985-07-01,,,126.97127105427673,37.53342571077417,한강로1가
용산구,정상영업,1993-04-13,,,126.96141772180385,37.53410384324059,한강로2가
용산구,정상영업,2004-09-21,,106290.33,126.96126654334233,37.52955742609546,한강로3가
용산구,정상영업,2004-12-22,,6876.34,126.96508318656629,37.5281936487888,한강로2가
용산구,정상영업,1987-11-26,,37901.41,126.96214237270283,37.53301024045151,한강로2가
용산구,정상영업,2006-08-25,,17898.53,126.96126654334233,37.52955742609546,한강로3가
용산구,정상영업,1968-11-09,,1209.2,126.96073613371482,37.55129386425684,서계동
용산구,정상영업,1987-02-13,,4845.26,126.99069783622967,37.53470672292456,이태원동
용산구,정상영업,1987-10-31,,62555.57,126.95683746953844,37.532814469423805,한강로3가
용산구,정상영업,1987-11-10,,11669.19,126.96052858606322,37.53362129147816,한강로3가
용산구,정상영업,1988-06-23,,8382.6,126.95700087422412,37.53368392893002,원효로3가
용산구,정상영업,1985-11-12,,3327.67,126.98232123877585,37.5172556579229,용산동6가
용산구,정상영업,1993-04-13,,10634.18,126.96141772180385,37.53410384324059,한강로2가
용산구,정상영업,1960-02-17,,574.0,126.98716302465319,37.53382954418872,이태원동
용산구,정상영업,2020-08-13,,8500.52,126.95949356249974,37.53281151670074,한강로3가
성동구,정상영업,2012-02-14,,264.3,127.02965738975224,37.562718602308756,왕십리2동
성동구,정상영업,1980-09-05,,0.0,127.06337086750501,37.560210702927264,용답동
성동구,정상영업,1982-10-16,,0.0,127.01126777163644,37.53973981690442,옥수동
성동구,정상영업,1998-08-03,,4049.55,127.02422842144254,37.55790166673219,행당동
성동구,정상영업,2000-03-31,,5873.69,127.02631735663064,37.55588045038522,행당동
성동구,정상영업,1968-12-07,,3225.0,127.05256563272751,37.54754752773186,성수동2가
성동구,정상영업,2006-03-20,,25910.0,127.03552114391518,37.56974326971218,마장동
성동구,정상영업,2007-03-23,,7717.09,127.03204634164807,37.564393114852884,왕십리도선동
성동구,정상영업,2008-06-27,,11573.0,127.03516008467312,37.56368446474169,행당동
성동구,정상영업,2008-08-28,,7960.0,127.03549178736719,37.56128897122646,행당동
성동구,정상영업,2012-02-24,,578.96,127.01354890324775,37.549963036494745,금호동3가
성동구,정상영업,2012-03-21,,293.34,127.01796103094509,37.55452218412229,금호동1가
광진구,정상영업,1970-12-23,,1524.1,127.06197240065211,37.53648691573683,자양동
광진구,정상영업,1971-05-01,,6426.48,127.0644999733416,37.53889096101888,자양동
광진구,정상영업,1971-05-08,,2107.8,127.07842352365262,37.56391829866956,중곡동
광진구,정상영업,2008-09-03,,3741.82,127.06819694269768,37.548437879869404,군자동
광진구,정상영업,2011-09-22,,662.55,127.07842352365262,37.56391829866956,중곡1동
광진구,정상영업,2011-10-05,,235.8,127.08593052471969,37.55454619100133,중곡4동
광진구,정상영업,2012-03-06,,274.4,127.07714215502851,37.55762633800754,중곡2동
광진구,정상영업,1977-01-31,,1137.92,127.08558573590584,37.55799510803415,중곡동
광진구,정상영업,1979-07-16,,2418.11,127.07354571917408,37.53199409392323,자양동
광진구,정상영업,1998-03-23,,49840.0,127.09287476235619,37.535699702821624,구의동
광진구,정상영업,2006-02-28,,3004.13,127.08126340211159,37.53090624772537,자양동
광진구,정상영업,1998-03-23,,4122.0,127.09287476235619,37.535699702821624,구의동
광진구,정상영업,2015-04-03,,4037.2,127.06305960261648,37.541151649949185,자양동
광진구,정상영업,1980-04-07,,2456.45,127.0670102433251,37.54350264661168,화양동
광진구,정상영업,1980-06-18,,2135.53,127.07824769891263,37.56359763200503,중곡동
광진구,정상영업,1989-08-23,,3995.19,127.09069544805536,37.53391763152814,구의동
광진구,정상영업,1990-11-17,,3625.18,127.09571426354493,37.54062083838449,광장동
광진구,정상영업,1992-11-05,,1707.82,127.09298400951184,37.5386274742487,구의동
광진구,정상영업,1997-01-30,,5880.92,127.0947310110651,37.53739770605889,구의동
광진구,정상영업,2012-03-21,,132.23,127.08928666173779,37.55197768452067,구의2동
광진구,정상영업,2012-03-29,,232.07,127.09137971465923,37.540533616927576,구의3동
광진구,정상영업,2006-12-14,,11320.4,127.06974203287463,37.537803135259864,자양동
광진구,정상영업,2008-08-22,,26203.17,127.06824670604945,37.53878862240545,자양동
동대문구,정상영업,2003-10-23,,12010.0,127.03589897942807,37.57451022953594,용두동
동대문구,정상영업,2008-08-06,,2448.0,127.02264835264405,37.5728315903354,신설동
동대문구,정상영업,2011-03-15,,5746.45,127.05929113822478,37.566273700919936,장안동
동대문구,정상영업,2007-05-09,,13762.35,127.03362038979753,37.57852308777503,제기동
동대문구,정상영업,2006-04-24,,6986.87,127.03478462857943,37.577797051463136,용두동
동대문구,정상영업,2009-03-20,,8286.24,127.05900468022875,37.59848835511636,이문1동
동대문구,정상영업,1975-09-05,,809.0,127.0656783323447,37.57788463981047,장안동
동대문구,정상영업,1974-07-11,,2178.0,127.06314157351981,37.59460577171887,휘경동
동대문구,정상영업,1972-07-12,,1774.0,127.05900468022875,37.59848835511636,이문동
동대문구,정상영업,2004-07-22,,7753.13,127.03271014758452,37.57856145602474,제기동
동대문구,정상영업,2005-04-29,,11167.69,127.0694991041825,37.57192621558758,장안동
동대문구,정상영업,2012-05-21,,130.8,127.05644903315279,37.594668029894116,이문동
동대문구,정상영업,2013-11-27,,3824.55,127.05316677521913,37.59081803158585,회기동
동대문구,정상영업,2010-08-11,,10910.6,127.04410236002589,37.58097729495557,전농1동
동대문구,정상영업,2010-07-23,,40346.6,127.04410236002589,37.58097729495557,전농1동
동대문구,정상영업,1977-12-26,,1250.85,127.02662986989846,37.57840402003222,용두동
동대문구,정상영업,1960-06-29,,15540.7,127.03642276044877,37.57916298642758,제기동
동대문구,정상영업,1972-10-12,,1813.0,127.0386288110756,37.57979460179543,제기동
동대문구,정상영업,1948-09-21,,19780.15,127.04149982707881,37.58143956526194,청량리동
동대문구,정상영업,2011-09-07,,1701.2,127.05757584481069,37.57664212040417,전농동
동대문구,정상영업,1978-12-28,,10431.44,127.04410783865407,37.574540602063,전농동
동대문구,정상영업,1974-04-02,,4244.0,127.05417159413743,37.5779585194555,전농동
동대문구,정상영업,1971-03-11,,1655.9,127.04941941918989,37.56762797771789,답십리동
동대문구,정상영업,2009-03-20,,8286.24,127.05900468022875,37.59848835511636,이문동
동대문구,정상영업,2011-09-07,,769.5,127.06781939933887,37.581512694259594,장안동
동대문구,정상영업,2016-12-30,,7377.08,127.02264835264405,37.5728315903354,신설동
동대문구,정상영업,2018-01-25,,441.1,127.03642276044877,37.57916298642758,제기동
동대문구,정상영업,2011-09-26,,967.51,127.05040124737407,37.5675713500063,답십리1동
동대문구,정상영업,2011-12-28,,1478.96,127.05929113822478,37.566273700919936,장안동
중랑구,정상영업,2001-03-28,,4136.0,127.09438928121853,37.60805315630301,신내1동
중랑구,정상영업,1975-09-09,,0.0,127.074574006062,37.599293008975415,중화2동
중랑구,정상영업,2011-07-04,,466.1,127.074574006062,37.599293008975415,중화2동
중랑구,정상영업,2011-08-09,,364.6,127.09733810588538,37.594939169404725,망우3동
중랑구,정상영업,2012-01-06,,1440.66,127.08340635019538,37.57954755711983,면목7동
중랑구,정상영업,2006-08-28,,11101.0,127.09087324152527,37.6157946307416,신내2동
중랑구,정상영업,2006-10-26,,8128.82,127.07817307200784,37.57992799373431,면목동
중랑구,정상영업,2010-07-21,,5100.83,127.07466258151506,37.61384588748609,묵1동
중랑구,정상영업,2010-12-29,,22618.65,127.08762368028492,37.598101159737865,상봉1동
중랑구,정상영업,2001-04-18,,9776.28,127.08732229768496,37.59686384169581,상봉동
성북구,정상영업,2019-05-24,,0.0,127.00742864011599,37.594807830058635,돈암동
성북구,정상영업,2012-05-21,,215.0,127.01857003990943,37.580758952519616,보문동7가
성북구,정상영업,2012-05-21,,685.6,127.0455704459814,37.62293507459277,장위동
성북구,정상영업,2012-05-21,,257.0,127.01543342445646,37.603261004491706,정릉3동
성북구,정상영업,2012-05-21,,189.0,127.01593882493214,37.609776369359636,길음동
성북구,정상영업,2012-10-16,,14370.0,127.00742864011599,37.594807830058635,돈암동
성북구,정상영업,2008-05-29,,10006.0,127.02683784095623,37.61085634829917,길음동
성북구,정상영업,2012-02-24,,10745.0,127.02810592321048,37.605052403184345,하월곡동
성북구,정상영업,1971-05-22,,,127.04979738734104,37.60821568852999,석관동
성북구,정상영업,1972-09-30,,,127.04505003695836,37.6213190477255,장위동
성북구,정상영업,2001-08-11,,36583.0,127.02583462053673,37.60837442819217,길음동
성북구,정상영업,2003-02-10,,2973.4,127.01887697064096,37.60271203283409,길음동
성북구,정상영업,2008-05-29,,10006.0,127.02683784095623,37.61085634829917,길음동
성북구,정상영업,2004-09-22,,18964.0,127.02683784095623,37.61085634829917,길음동
성북구,정상영업,2008-06-20,,3583.0,127.05476090593503,37.61337542942581,장위동
성북구,정상영업,2008-10-27,,4382.65,127.03059906534244,37.60196393709111,종암동
성북구,정상영업,2010-04-28,,10006.0,127.02683784095623,37.61085634829917,길음동
성북구,정상영업,2010-06-30,,19201.0,127.02810592321048,37.605052403184345,길음2동
성북구,정상영업,2010-05-19,,17817.0,127.03755514654458,37.601820976664996,하월곡동
성북구,정상영업,2012-04-12,,202.0,127.01505472074308,37.607561305229574,길음1동
성북구,정상영업,2012-04-12,,198.0,127.01508279285974,37.6108720478642,길음1동
성북구,정상영업,2012-04-20,,80.49,127.03587802072389,37.60420775454403,월곡1동
성북구,정상영업,2012-04-25,,17056.0,127.01428654773156,37.59260509731219,동선동1가
성북구,정상영업,2012-05-14,,149.49,127.00366811666892,37.58786268109334,삼선동1가
강북구,정상영업,1966-12-19,,5301.07,127.02005814588244,37.630781144743914,수유동
강북구,정상영업,1971-11-18,,3634.6,127.01843755660106,37.64034645265025,수유동
강북구,정상영업,1975-02-11,,5023.11,127.01590485397466,37.620246988940536,미아동
강북구,정상영업,1971-07-19,,2651.0,127.02745506869914,37.63623647882298,번1동
강북구,정상영업,1975-02-11,,3243.0,127.01590485397466,37.620246988940536,미아동
강북구,정상영업,2014-12-24,,12353.04,127.02762399716941,37.61370132969098,미아동
강북구,정상영업,1998-06-25,,4239.91,127.02056064450731,37.631696553982195,수유동
강북구,정상영업,2003-12-09,,0.0,127.02056064450731,37.631696553982195,수유동
강북구,정상영업,2003-04-25,,9258.0,127.02687570357693,37.61272002047807,미아동
강북구,정상영업,2008-07-10,,1698.5,127.01324357896812,37.6362170416198,수유동
강북구,정상영업,2011-01-24,,2736.8,127.02745506869914,37.63623647882298,번1동
강북구,정상영업,2011-09-09,,8319.26,127.0148282326308,37.62557410754406,미아동
강북구,정상영업,2011-12-02,,500.56,127.02411444273196,37.62273898434033,미아동
강북구,정상영업,2006-12-14,,45651.37,127.0276358515983,37.614215984414464,미아동
도봉구,정상영업,2019-03-28,,3338.57,127.0352533925011,37.66140604657626,쌍문동
도봉구,정상영업,2012-03-26,,784.04,127.03220190481377,37.64348257266518,창동
도봉구,정상영업,1989-08-04,,2775.53,127.02426021839437,37.66143190471009,방학동
도봉구,정상영업,1995-11-29,,3364.41,127.03464131191248,37.64237061371983,창동
도봉구,정상영업,2012-03-15,,705.1,127.03244744600734,37.65918857254101,쌍문2동
도봉구,정상영업,2010-11-30,,3629.76,127.04478626771956,37.6745500734023,도봉동
도봉구,정상영업,2012-01-05,,784.04,127.03220190481377,37.64348257266518,창2동
도봉구,정상영업,2003-02-03,,4036.49,127.04517030326268,37.68573651593075,도봉동
노원구,정상영업,2011-12-29,,565.54,127.06567798763739,37.61780285234586,월계3동
도봉구,정상영업,2012-03-18,,197.7,127.03424281418242,37.646467983846414,창1동
도봉구,정상영업,2003-06-25,,15851.56,127.04085228035485,37.66484189955164,방학동
도봉구,정상영업,2006-09-04,,5648.26,127.03439041166038,37.64008079655384,창동
도봉구,정상영업,2010-04-02,,4297.5,127.0444380971713,37.652021727811345,창동
도봉구,정상영업,2011-09-26,,1095.47,127.03220190481377,37.64348257266518,창2동
도봉구,정상영업,2012-03-15,,844.9,127.02426021839437,37.66143190471009,방학3동
노원구,정상영업,2012-03-26,,324.4,127.0683826106621,37.628141296171684,공릉동
노원구,정상영업,2011-12-29,,739.8,127.0807120736863,37.62081085050528,공릉2동
노원구,정상영업,2007-08-06,,10209.0,127.06638170853891,37.63658857038254,하계동
노원구,정상영업,2001-12-07,,12840.0,127.06571826409112,37.63991860183286,중계동
노원구,정상영업,2004-02-26,,1615.8,127.05199866889654,37.68027003047857,상계동
노원구,정상영업,2004-09-06,,38200.14,127.0589680448907,37.627340551277605,월계동
