동,쓰레기배출량,연도
공덕동,7390.06,2019
대흥동,3229.98,2019
도화동,3570.35,2019
동교동,8959.26,2019
망원1동,4952.644,2019
망원2동,4721.951,2019
상암동,6585.85,2019
서강동,3989.64,2019
서교동,13304.85,2019
성산1동,5012.55,2019
성산2동,6974.33,2019
신수동,3482.52,2019
아현동,3888.742,2019
연남동,5706.13,2019
염리동,2604.81,2019
용강동,3769.253,2019
합정동,5899.38,2019
공덕동,7820.79,2020
대흥동,3438.52,2020
도화동,3915.2,2020
동교동,8239.02,2020
망원1동,5264.31,2020
망원2동,5341.678,2020
상암동,7081.16,2020
서강동,3723.61,2020
서교동,12008.55,2020
성산1동,5400.309,2020
성산2동,6855.763,2020
신수동,3590.57,2020
아현동,4171.377,2020
연남동,5750.98,2020
염리동,2772.197,2020
용강동,3773.155,2020
합정동,6392.09,2020
