구,상태,인허가일자,폐업일자,면적,경도,위도,읍면동
동작구,폐업,2017-08-04,2025-03-06,183.99,126.97864249654636,37.484942830455466,사당동
관악구,폐업,2001-03-03,2025-04-28,90.19,126.92547618730345,37.48956804420531,봉천동
노원구,폐업,1999-04-16,2025-04-28,364.58,127.05842425263374,37.65324389608599,상계동
서초구,폐업,2003-07-29,2025-05-16,433.62,127.01208795467196,37.48654673830037,서초동
강서구,폐업,1987-01-28,2025-05-07,1008.0,126.87568388336199,37.54909512862777,염창동
양천구,폐업,1999-06-07,2025-05-08,105.33,126.86773651161039,37.52803679193673,목동
강남구,폐업,2019-10-25,2025-05-13,180.43,127.04328913567377,37.504443777490394,역삼동
중구,폐업,1987-01-16,2025-05-15,447.74,127.00045574140864,37.565884296057796,을지로5가
종로구,폐업,2005-11-22,2021-07-16,37.82,126.99951188770987,37.57161764598164,효제동
종로구,폐업,1971-01-31,2020-07-10,94.88,126.97167257200114,37.5710205662225,당주동
종로구,폐업,2006-07-19,2020-10-13,49.47,126.99993326794194,37.57165149095411,효제동
종로구,폐업,2006-08-08,2024-12-11,118.08,126.99983068299196,37.57131854111141,종로5가
종로구,폐업,1978-06-21,2019-06-24,924.8,126.97466865935084,37.610635380171296,평창동
종로구,폐업,1984-06-23,2019-03-18,69.6,126.98066469677543,37.57291923640352,견지동
종로구,폐업,2010-01-13,2025-02-21,71.47,126.97696013266717,37.57045889074498,종로1가
종로구,폐업,1972-10-27,2020-06-22,174.04,127.008542856074,37.570109918658126,창신동
종로구,폐업,2004-09-06,2020-10-23,48.87,126.99961039125624,37.57155986577048,효제동
종로구,폐업,1974-05-10,2024-02-08,121.93,126.9809231503295,37.57247975542995,관훈동
종로구,폐업,1975-01-15,2021-09-07,84.98,126.98047492648655,37.57353990236255,견지동
종로구,폐업,2000-05-15,2020-01-31,236.94,126.9900062697686,37.56879918308794,장사동
종로구,폐업,2000-12-27,2020-08-05,78.24,126.99993326794194,37.57165149095411,효제동
종로구,폐업,2001-01-26,2022-06-14,35.32,127.00120523768112,37.57055506996941,종로5가
종로구,폐업,2004-04-20,2019-06-05,80.56,126.99593049026699,37.57262400645801,인의동
종로구,폐업,2010-10-21,2021-10-12,76.84,127.00025810234696,37.57134499694859,종로5가
종로구,폐업,2010-12-01,2022-10-31,75.8,127.00063595706573,37.57076342659716,종로5가
종로구,폐업,2002-01-09,2019-03-04,71.16,126.97661673934348,37.56940900136026,서린동
종로구,폐업,2012-05-17,2020-10-12,84.86,126.9940905760263,37.57540959756822,원남동
종로구,폐업,2009-02-11,2022-07-26,219.87,127.00333332831124,37.57232322074477,종로6가
종로구,폐업,2002-06-12,2022-07-26,61.91,126.9972151486968,37.571794257788675,종로5가
종로구,폐업,2001-10-18,2022-07-21,101.56,126.99480626225794,37.56979197703908,예지동
종로구,폐업,2006-03-07,2021-11-02,117.34,127.01849166046696,37.57369706614457,숭인동
종로구,폐업,2018-12-19,2020-06-29,45.97,126.984449827829,37.57065472707908,인사동
종로구,폐업,2011-05-02,2019-09-18,40.5,127.00083815414463,37.57130723051545,종로5가
중구,폐업,1986-11-13,2023-05-12,74.36,126.97495960984577,37.56805213113966,태평로1가
중구,폐업,2006-08-23,2019-12-02,96.36,126.98109454852934,37.56581326935751,을지로2가
중구,폐업,2003-11-10,2019-12-09,81.08,126.98692753753636,37.567220114462316,수표동
중구,폐업,2010-07-26,2020-06-25,85.03,127.00356944982249,37.56471526484114,광희동1가
중구,폐업,2019-12-09,2021-06-02,129.32,126.97407198460564,37.562863630096835,태평로2가
중구,폐업,2020-02-03,2020-09-14,81.08,126.98692753753636,37.567220114462316,수표동
중구,폐업,2015-11-10,2024-01-10,92.38,126.9748958554527,37.5619856748516,북창동
중구,폐업,1999-05-31,2020-10-13,174.4,126.97666556203613,37.567642178473214,무교동
중구,폐업,2011-05-04,2025-02-25,90.0,126.96957261513587,37.557702830474355,남대문로5가
중구,폐업,1986-03-22,2021-01-15,107.0,126.99103626966276,37.561460700997365,필동2가
중구,폐업,2010-06-23,2019-01-22,83.0,126.97070236723518,37.55762663164976,남대문로5가
중구,폐업,1986-06-03,2023-04-11,189.92,126.9902187260567,37.56602491207029,을지로3가
중구,폐업,1975-06-04,2019-03-08,55.04,126.97448739642364,37.557388020114885,남창동
중구,폐업,1975-08-31,2025-02-13,83.67,126.98721014076617,37.56214235919862,충무로2가
중구,폐업,2002-10-22,2020-05-25,98.43,127.0153427187791,37.56538788336872,신당동
중구,폐업,2002-11-30,2024-11-20,179.0,126.9870077650536,37.562211469918594,충무로2가
중구,폐업,1974-01-22,2022-09-08,99.97,126.99260194813922,37.5618831526287,충무로4가
중구,폐업,2011-09-20,2022-10-05,98.35,127.0034302007126,37.56600688713501,을지로6가
중구,폐업,2012-11-30,2021-06-02,275.72,126.97407198460564,37.562863630096835,태평로2가
중구,폐업,1985-08-24,2019-10-28,98.5,126.97946072679882,37.56292760095176,명동2가
중구,폐업,2003-09-09,2022-09-30,36.4,127.00362014793276,37.56462450876733,광희동1가
중구,폐업,1999-08-03,2023-05-31,115.62,127.0040964439602,37.56490777960818,광희동1가
중구,폐업,2006-11-24,2020-06-30,93.34,126.9773626834529,37.56669149157061,을지로1가
중구,폐업,1978-01-26,2023-05-12,65.04,126.97508578316365,37.56794238794086,태평로1가
중구,폐업,1978-01-26,2022-05-03,361.7,126.97508578316365,37.56794238794086,태평로1가
중구,폐업,2002-07-23,2023-06-16,53.1,126.9773626834529,37.56669149157061,을지로1가
중구,폐업,2002-08-14,2019-05-29,64.38,126.99581266438723,37.56255382832292,충무로5가
중구,폐업,1976-12-22,2021-08-23,112.83,126.9953937775423,37.56821382736197,주교동
중구,폐업,2002-01-17,2019-12-17,67.52,126.9715311740391,37.558442535383094,남대문로5가
중구,폐업,2000-11-20,2021-04-16,89.91,126.97572022986499,37.563660144776954,북창동
중구,폐업,2000-04-26,2020-12-10,82.2,126.97480647820974,37.56126736256849,북창동
중구,폐업,2006-01-09,2020-10-14,65.2,126.99071150506316,37.562715202761886,충무로4가
중구,폐업,2006-01-31,2020-10-13,55.4,126.99071150506316,37.562715202761886,충무로4가
중구,폐업,2018-12-04,2024-03-06,51.2,126.98155540796063,37.564545177519506,명동1가
중구,폐업,2001-03-07,2021-02-03,118.77,126.97480647820974,37.56126736256849,북창동
중구,폐업,2000-10-20,2022-06-24,47.15,126.9748478602733,37.562779428271504,북창동
중구,폐업,1985-08-27,2025-03-05,132.07,126.9870077650536,37.562211469918594,충무로2가
중구,폐업,2010-08-16,2025-04-25,92.89,126.97066432086784,37.557738237054764,남대문로5가
중구,폐업,2000-06-01,2025-04-10,269.36,126.97942099198448,37.56776541027675,다동
중구,폐업,2001-02-21,2025-05-13,122.69,126.97490105456619,37.56367220481482,북창동
용산구,폐업,2014-09-11,2024-03-04,138.33,126.99040467131172,37.52896341541847,이태원동
용산구,폐업,1970-04-20,2021-08-27,207.45,126.9928864835607,37.53388623121038,이태원동
용산구,폐업,1978-06-02,2022-09-01,183.04,126.99848066123002,37.53749608096147,한남동
용산구,폐업,1999-12-07,2021-08-31,68.92,126.95844560091194,37.5354938855555,원효로2가
용산구,폐업,1978-12-01,2021-08-23,105.0,127.00736964316596,37.53476347895775,한남동
용산구,폐업,1980-09-12,2024-02-23,1230.92,126.98792160630164,37.53144096058422,이태원동
용산구,폐업,1981-12-22,2019-07-04,258.87,126.95939957667058,37.53525098027041,원효로2가
용산구,폐업,1978-05-23,2021-06-23,165.48,126.99741054062066,37.53625334479149,한남동
성동구,폐업,1985-05-07,2025-02-14,179.6,127.02876361301202,37.56368434161909,도선동
성동구,폐업,1979-07-03,2024-06-10,127.62,127.03445230617733,37.57092180203859,마장동
성동구,폐업,2012-12-24,2020-02-14,259.27,127.0329420804317,37.56445166569007,도선동
광진구,폐업,1978-08-03,2022-12-01,104.29,127.08118819933513,37.53613912374557,자양동
광진구,폐업,1979-09-22,2024-11-04,92.97,127.08183120392987,37.544407853832425,구의동
광진구,폐업,1980-04-08,2020-06-29,159.32,127.06544935693687,37.54853464301823,군자동
광진구,폐업,1980-09-17,2019-05-22,1871.0,127.10655586951972,37.54743178904645,광장동
광진구,폐업,1991-04-26,2023-12-19,33.5,127.08899742147709,37.534166770374654,구의동
광진구,폐업,1972-08-04,2024-09-11,75.33,127.06953185897684,37.54752071353783,화양동
광진구,폐업,1974-11-05,2021-05-11,114.1,127.07723028910239,37.55731381674003,중곡동
광진구,폐업,1975-11-26,2021-08-10,94.96,127.06421794741611,37.54723500910805,화양동
동대문구,폐업,2018-05-24,2023-01-19,206.15,127.06668343077735,37.56832863701198,장안동
동대문구,폐업,2018-07-13,2019-02-25,473.0,127.04042989637077,37.578597950409126,전농동
동대문구,폐업,1990-06-21,2023-07-10,506.12,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1985-01-08,2019-01-28,1210.05,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1987-03-29,2023-08-28,180.56,127.04941941918989,37.56762797771789,답십리동
동대문구,폐업,1988-02-08,2024-07-03,348.57,127.06714136682793,37.56906962833218,장안동
동대문구,폐업,2001-06-22,2023-08-21,55.8,127.0690040183647,37.57157035357236,장안동
동대문구,폐업,2001-06-22,2023-08-28,91.42,127.0674408298065,37.56953134537514,장안동
동대문구,폐업,2001-11-29,2020-04-13,73.44,127.04862864512236,37.56821881659438,답십리동
동대문구,폐업,2019-02-08,2020-05-15,1172.39,127.06412973149982,37.56177804582542,장안동
동대문구,폐업,2019-02-25,2021-04-26,124.12,127.04042989637077,37.578597950409126,전농동
동대문구,폐업,2019-10-16,2020-05-21,1175.63,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,2016-05-13,2022-09-19,97.4,127.06843465123481,37.57064083989801,장안동
동대문구,폐업,2000-06-08,2021-11-08,1037.55,127.06125548830998,37.56199096230754,장안동
동대문구,폐업,2007-07-10,2023-03-15,632.89,127.06807809456289,37.57024874244289,장안동
동대문구,폐업,1969-05-02,2021-12-01,226.81,127.02156861756345,37.57640010818645,신설동
동대문구,폐업,1971-08-19,2022-04-04,84.87,127.05402220146695,37.577518371305196,전농동
동대문구,폐업,2011-07-22,2023-08-02,181.96,127.0674408298065,37.56953134537514,장안동
동대문구,폐업,2012-04-26,2020-06-15,281.46,127.06639351854415,37.56789147203233,장안동
동대문구,폐업,1977-05-13,2023-10-05,91.8,127.04490660847944,37.5706943568742,답십리동
동대문구,폐업,2009-01-06,2023-11-10,200.99,127.06677778103138,37.568487739939265,장안동
동대문구,폐업,2001-03-24,2024-10-22,88.99,127.05893992921975,37.60314566972488,이문동
