구,동,인구,면적,인구밀도,연도
종로구,사직동,9815,1.23,7980,2019
종로구,삼청동,2997,1.49,2011,2019
종로구,부암동,10551,2.27,4648,2019
종로구,평창동,18816,8.87,2121,2019
종로구,무악동,8740,0.36,24278,2019
종로구,교남동,10708,0.35,30594,2019
종로구,가회동,4488,0.54,8311,2019
종로구,종로1.2.3.4가동,8446,2.35,3594,2019
종로구,종로5.6가동,5839,0.60,9732,2019
종로구,이화동,8470,0.78,10859,2019
종로구,창신1동,6079,0.31,19610,2019
종로구,창신2동,9799,0.26,37688,2019
종로구,창신3동,7271,0.23,31613,2019
종로구,숭인1동,6532,0.23,28400,2019
종로구,숭인2동,9902,0.35,28291,2019
종로구,청운효자동,12981,2.57,5051,2019
종로구,혜화동,20435,1.12,18246,2019
중구,소공동,3059,0.95,3220,2019
중구,회현동,5850,0.84,6964,2019
중구,명동,3567,0.99,3603,2019
중구,필동,5020,1.14,4404,2019
중구,장충동,5628,1.36,4138,2019
중구,광희동,6284,0.74,8492,2019
중구,을지로동,2007,0.60,3345,2019
중구,신당5동,10929,0.39,28023,2019
중구,황학동,13689,0.33,41482,2019
중구,중림동,12942,0.48,26963,2019
중구,신당동,9234,0.55,16789,2019
중구,다산동,15035,0.51,29480,2019
중구,약수동,17734,0.48,36946,2019
중구,청구동,14515,0.34,42691,2019
중구,동화동,10995,0.26,42288,2019
용산구,후암동,18445,0.86,21448,2019
용산구,용산2가동,11836,1.96,6039,2019
용산구,남영동,8412,1.19,7069,2019
용산구,원효로2동,14718,0.71,20730,2019
용산구,효창동,10300,0.44,23409,2019
용산구,용문동,12587,0.28,44954,2019
용산구,이촌1동,29255,2.86,10229,2019
용산구,이촌2동,9005,1.22,7381,2019
용산구,이태원1동,9222,0.57,16179,2019
용산구,이태원2동,10811,0.86,12571,2019
용산구,서빙고동,14102,2.80,5036,2019
용산구,보광동,15862,0.71,22341,2019
용산구,청파동,20661,0.91,22704,2019
용산구,원효로1동,16630,0.59,28186,2019
용산구,한강로동,19635,2.90,6771,2019
용산구,한남동,23704,3.01,7875,2019
성동구,왕십리2동,17744,0.41,43278,2019
성동구,마장동,24035,1.05,22890,2019
성동구,사근동,13543,1.10,12312,2019
성동구,행당1동,16463,0.59,27903,2019
성동구,행당2동,24640,0.42,58667,2019
성동구,응봉동,16188,0.57,28400,2019
성동구,금호1가동,15954,0.46,34683,2019
성동구,금호4가동,15227,0.84,18127,2019
성동구,성수1가1동,17168,1.98,8671,2019
성동구,성수1가2동,14735,0.89,16556,2019
성동구,성수2가1동,17722,1.18,15019,2019
성동구,성수2가3동,11682,1.03,11342,2019
성동구,송정동,11428,0.75,15237,2019
성동구,용답동,13290,2.32,5728,2019
성동구,왕십리도선동,27767,0.72,38565,2019
성동구,금호2.3가동,24171,0.64,37767,2019
성동구,옥수동,27222,1.95,13960,2019
광진구,화양동,25537,1.16,22015,2019
광진구,군자동,22109,0.74,29877,2019
광진구,중곡1동,16287,0.62,26269,2019
광진구,중곡2동,22564,0.55,41025,2019
광진구,중곡3동,17315,0.60,28858,2019
광진구,중곡4동,30516,2.32,13153,2019
광진구,능동,11978,1.10,10889,2019
광진구,구의1동,23063,0.56,41184,2019
광진구,구의2동,27902,1.39,20073,2019
광진구,구의3동,30094,1.02,29504,2019
광진구,광장동,36083,2.39,15097,2019
광진구,자양1동,24156,0.57,42379,2019
광진구,자양2동,26893,1.68,16008,2019
광진구,자양3동,29475,1.20,24563,2019
광진구,자양4동,23000,1.16,19828,2019
동대문구,회기동,13114,0.76,17255,2019
동대문구,휘경1동,16508,0.63,26203,2019
동대문구,휘경2동,25068,1.05,23874,2019
동대문구,청량리동,21808,1.20,18173,2019
동대문구,용신동,32144,1.61,19965,2019
동대문구,제기동,27364,1.18,23190,2019
동대문구,전농1동,31075,1.19,26113,2019
동대문구,전농2동,19990,0.86,23244,2019
동대문구,답십리2동,30486,0.85,35866,2019
동대문구,장안1동,39153,1.25,31322,2019
동대문구,장안2동,33045,1.09,30317,2019
동대문구,이문1동,22311,1.04,21453,2019
동대문구,이문2동,21174,0.69,30687,2019
동대문구,답십리1동,29783,0.81,36769,2019
중랑구,면목2동,25942,0.73,35537,2019
중랑구,면목4동,20052,1.10,18229,2019
중랑구,면목5동,9825,0.64,15352,2019
중랑구,면목7동,22200,0.87,25517,2019
중랑구,상봉1동,25499,0.85,29999,2019
중랑구,상봉2동,19844,0.68,29182,2019
중랑구,중화1동,20916,0.68,30759,2019
중랑구,중화2동,27274,0.98,27831,2019
중랑구,묵1동,36016,1.20,30013,2019
중랑구,묵2동,19901,0.70,28430,2019
중랑구,망우3동,17941,0.99,18122,2019
중랑구,신내1동,40854,2.53,16148,2019
중랑구,신내2동,21905,0.99,22126,2019
중랑구,면목본동,36195,1.01,35837,2019
중랑구,면목3.8동,26589,1.67,15922,2019
중랑구,망우본동,31071,2.88,10789,2019
성북구,돈암1동,15921,0.49,32492,2019
성북구,돈암2동,25028,0.48,52142,2019
성북구,안암동,17502,1.33,13159,2019
성북구,보문동,16653,0.56,29738,2019
성북구,정릉1동,19455,0.44,44216,2019
성북구,정릉2동,23834,1.17,20371,2019
성북구,정릉3동,17233,3.71,4645,2019
성북구,정릉4동,26792,3.13,8560,2019
성북구,길음1동,37082,0.79,46939,2019
성북구,길음2동,16620,0.58,28655,2019
성북구,월곡1동,27523,0.81,33979,2019
성북구,월곡2동,20509,1.36,15080,2019
성북구,장위1동,20592,0.70,29417,2019
성북구,장위2동,13972,0.67,20854,2019
성북구,장위3동,17580,0.65,27046,2019
성북구,성북동,17584,2.86,6148,2019
성북구,삼선동,26013,0.92,28275,2019
성북구,동선동,16276,0.73,22296,2019
성북구,종암동,42068,1.46,28814,2019
성북구,석관동,36507,1.73,21102,2019
강북구,번1동,19614,0.66,29718,2019
강북구,번2동,17102,0.95,18002,2019
강북구,번3동,18251,1.10,16592,2019
강북구,수유1동,21841,1.67,13078,2019
강북구,수유2동,21939,0.57,38489,2019
강북구,수유3동,24064,0.72,33422,2019
강북구,삼양동,25537,0.91,28063,2019
강북구,미아동,22814,0.93,24531,2019
강북구,송중동,31153,1.01,30845,2019
강북구,송천동,28628,0.90,31809,2019
강북구,삼각산동,32900,0.62,53065,2019
강북구,우이동,21391,10.28,2081,2019
강북구,인수동,32461,3.28,9897,2019
도봉구,쌍문1동,22364,1.24,18035,2019
도봉구,쌍문2동,20025,0.54,37083,2019
도봉구,쌍문3동,17262,0.50,34524,2019
도봉구,쌍문4동,19811,0.52,38098,2019
도봉구,방학1동,30056,0.69,43559,2019
도봉구,방학2동,21140,0.74,28568,2019
도봉구,방학3동,28782,2.64,10902,2019
도봉구,창1동,26271,0.88,29853,2019
도봉구,창2동,30498,1.07,28503,2019
