연번,자치구명,도로(가로)명,설치위치,세부위치,설치지점,수거 쓰레기 종류,형태,담당자 연락처
1,서울특별시 강서구,가로공원로,화곡1동,나누리병원 16-199,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
2,서울특별시 강서구,가로공원로,화곡1동,나누리병원 16-200,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
3,서울특별시 강서구,강서로,화곡1동,까치산역 16-192,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
4,서울특별시 강서구,강서로,화곡1동,까치산역 16-192,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
5,서울특별시 강서구,강서로,화곡1동,화곡역.현대주유소 16-205,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
6,서울특별시 강서구,강서로,화곡3동,화곡중고등학교16-211,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
7,서울특별시 강서구,강서로,우장산동,화곡중고등학교16-212,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
8,서울특별시 강서구,강서로,우장산동,우장산역 1번출구16-213,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
9,서울특별시 강서구,강서로,발산1동,명덕고등학교16-216,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
10,서울특별시 강서구,강서로,발산1동,발산역힐스테이트16-218,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
11,서울특별시 강서구,강서로,발산1동,발산역힐스테이트16-218,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
12,서울특별시 강서구,강서로,가양1동,호서전문학교16-221,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
13,서울특별시 강서구,강서로,등촌3동,호서전문학교16-222,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
14,서울특별시 강서구,강서로,등촌3동,KT가양지사16-223,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
15,서울특별시 강서구,강서로,가양1동,KT가양지사16-224,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
16,서울특별시 강서구,강서로,우장산동,명덕고등학교16-916,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
17,서울특별시 강서구,강서로,발산1동,우장산역 4번출구16-974,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
18,서울특별시 강서구,개화로,방화2동,방화중학교16-163,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
19,서울특별시 강서구,개화로,방화2동,방화중학교16-163,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
20,서울특별시 강서구,개화로,방화2동,방화중학교16-164,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
21,서울특별시 강서구,개화로,방화2동,방화중학교16-164,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
22,서울특별시 강서구,개화로,방화2동,개화파출소앞16-167,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
23,서울특별시 강서구,개화로,방화2동,개화검문소앞16-169,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
24,서울특별시 강서구,개화로,방화2동,개화역16-170,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
25,서울특별시 강서구,개화로,방화2동,개화역16-170,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
26,서울특별시 강서구,개화로,방화2동,개화역입구,다중집합장소, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
27,서울특별시 강서구,공항대로,등촌2동,등촌중학교16-104,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
28,서울특별시 강서구,공항대로,화곡6동,하이웨이주유소16-106,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
29,서울특별시 강서구,공항대로,화곡6동,하이웨이주유소16-106,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
30,서울특별시 강서구,공항대로,등촌3동,한국가스공사16-109,버스정류장, 일반쓰레기 수거용 ,일반쓰레기통,02-2600-4067
31,서울특별시 강서구,공항대로,등촌3동,한국가스공사16-109,버스정류장, 재활용수거  ,일반쓰레기통,02-2600-4067
