연번,자치구명,관리번호,도로(가로)명,설치위치,설치지점,수거쓰레기종류,형태,설치연도
1,영등포구,-,대림동 993-59,서울영림초등학교(중)(19009),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
2,영등포구,-,문래동1가 57-3,문래동남성아파트(중)(19001),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
3,영등포구,-,문래동2가 36-13,문래동남성아파트(중)(19002),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
4,영등포구,-,문래동2가 36-13,문래동남성아파트(중)(19002),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
5,영등포구,-,신길동 4321,보라매공원(중)(19012),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
6,영등포구,-,신길동 4785,경남아너스빌아파트(중)(19011),"정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
7,영등포구,-,신길동 4880,"서울지방병무청(중)(19014)","정류소(버스,택시 등)",일반쓰레기,항아리형 쓰레기통,2018년 이전
8,영등포구,-,대림동 962-3,강남성심병원.대림성모병원(중)(19010),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
9,영등포구,-,도림로47길28,원지어린이공원,"광장, 공원",일반쓰레기,일반 사각 쓰레기통,2021년
10,영등포구,-,신길로 155,신길가마산로교차로 신길AK푸르지오 방향(횡단보도),도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,2018년 이전
11,영등포구,-,가마산로 496,신길힐스테이트클래시안아파트(19878),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
12,영등포구,영등포-2022-21,신길로 70,신길주유소(19248),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
13,영등포구,-,신길동 1367-2,대방역(19307),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
14,영등포구,-,여의대방로 259,공군호텔(19255),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
15,영등포구,-,양평동4가 301-7,양평동 어린이공원,"광장, 공원",일반쓰레기,일반 사각 쓰레기통,2021년
16,영등포구,-,양평동4가 301-7,양평동 어린이공원,"광장, 공원",재활용쓰레기,일반 사각 쓰레기통,2021년
17,영등포구,-,당산로 223,당산역 11번 출구 뒤,지하철역 입구,일반쓰레기,항아리형 쓰레기통,2018년 이전
18,영등포구,-,양평로 132,한신아파트.선유도역(19210),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2019년
19,영등포구,-,양평로 132,한신아파트.선유도역(19210),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
20,영등포구,-,양화동 10-8,안양천입구(19217),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
21,영등포구,-,양화동 10-8,안양천입구(19217),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
22,영등포구,-,양화동 10-8,영등포아리수정수센터(19215),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
23,영등포구,-,양화동 10-8,영등포아리수정수센터(19215),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
24,영등포구,-,국제금융로 108-6,진주아파트(19149),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2018년 이전
25,영등포구,-,국제금융로 112,여의동주민센터(19148),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2018년 이전
26,영등포구,-,여의나루로 50,교직원공제회 앞 흡연부스 옆,기타,일반쓰레기,일반 사각 쓰레기통,2021년
27,영등포구,-,여의나루로 50,교직원공제회 앞 흡연부스 옆,기타,재활용쓰레기,일반 사각 쓰레기통,2021년
28,영등포구,-,여의나루로 71,한국거래소(19158),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
29,영등포구,-,여의나루로 76,한국거래소(19157),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
30,영등포구,영등포-2022-06,여의도동 2-11,여의도공원(19138),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
31,영등포구,-,신길로 28,"태양의집.KT대방지사(19247)신길주유소 방면","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
32,영등포구,-,여의나루로 지하40,여의도역 4번출구 뒤,지하철역 입구,재활용쓰레기,일반 사각 쓰레기통,2021년
33,영등포구,-,의사당대로 110,여의도역(19155)공군회관 방향,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
34,영등포구,-,경인로 829,영등포역 버스중앙차로(중)(19005),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
35,영등포구,-,경인로 829,영등포역 버스중앙차로(중)(19005),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
36,영등포구,-,경인로 829,영등포역 버스중앙차로(중)(19005),"정류소(버스,택시 등)",재활용쓰레기,항아리형 쓰레기통,2018년 이전
37,영등포구,-,경인로 829,영등포역 버스중앙차로(중)(19005),"정류소(버스,택시 등)",재활용쓰레기,항아리형 쓰레기통,2018년 이전
38,영등포구,-,의사당대로 1,"국회의사당(19129)(영등포아리수정수센터방면)국회도서관입구 앞","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2018년 이전
39,영등포구,영등포-2021-01,영중로 25-1,"경방타임스퀘어,신세계백화점버스정류장(19117)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
40,영등포구,영등포-2021-01,영중로 25-1,"경방타임스퀘어,신세계백화점버스정류장(19117)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
41,영등포구,영등포-2023-03,영중로 9,경방타임스퀘어.신세계백화점/영등포역(19821)에이스하이방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
42,영등포구,영등포-2023-03,영중로 9,경방타임스퀘어.신세계백화점/영등포역(19821)에이스하이방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
43,영등포구,영등포-2021-03,영중로 22,경방타임스퀘어.신세계백화점(19110),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
44,영등포구,영등포-2021-03,영중로 22,경방타임스퀘어.신세계백화점(19110),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
45,영등포구,영등포-2023-05,영중로 12,경방타임스퀘어.신세계백화점(19112)김안과병원방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
46,영등포구,영등포-2023-05,영중로 12,경방타임스퀘어.신세계백화점(19112)김안과병원방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
47,영등포구,영등포-2021-05,경인로 851,영등포역 버스중앙차로(중)(19006),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
48,영등포구,영등포-2021-05,경인로 851,영등포역 버스중앙차로(중)(19006),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
49,영등포구,영등포-2021-06,경인로 851,영등포역 버스중앙차로(중)(19006),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
50,영등포구,영등포-2021-06,경인로 851,영등포역 버스중앙차로(중)(19006),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
51,영등포구,영등포-2023-01,당산로27길 12,영등포구청(19168)당산동진로아파트 방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
52,영등포구,영등포-2023-01,당산로27길 12,영등포구청(19168)당산동진로아파트 방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
53,영등포구,영등포-2021-08,국회대로 552,당산동삼익아파트(19171),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
54,영등포구,영등포-2021-08,국회대로 552,당산동삼익아파트(19171),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
55,영등포구,영등포-2021-09,당산로 223,당산역 11번 출구 뒤,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2021년
56,영등포구,영등포-2021-09,당산로 223,당산역 11번 출구 뒤,지하철역 입구,재활용쓰레기,일반 사각 쓰레기통,2021년
57,영등포구,영등포-2021-10,문래로 187,CM충무병원(19429),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
58,영등포구,영등포-2021-10,문래로 187,CM충무병원(19429),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
59,영등포구,영등포-2021-11,당산로 68,당산동진로아파트(19163)김안과병원방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
60,영등포구,영등포-2021-11,당산로 68,당산동진로아파트(19163)김안과병원방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
61,영등포구,영등포-2021-12,영등포로 141,당산동진로아파트(19162)양남동로터리방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2021년
62,영등포구,영등포-2021-12,영등포로 141,당산동진로아파트(19162)양남동로터리방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2021년
63,영등포구,영등포-2022-01,신풍로 33,신풍역 5번 출구,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2022년
64,영등포구,영등포-2022-01,신풍로 33,신풍역 5번 출구,지하철역 입구,재활용쓰레기,일반 사각 쓰레기통,2022년
65,영등포구,영등포-2022-02,영신로 35,영등포역후문(19893),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
66,영등포구,영등포-2022-02,영신로 35,영등포역후문(19893),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
67,영등포구,영등포-2022-03,국제금융로7길 46,여의도중학교 버스정류장(19141),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
68,영등포구,영등포-2022-03,국제금융로7길 46,여의도중학교 버스정류장(19141),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
69,영등포구,영등포-2022-04,국제금융로7길 46,여의도중학교 버스정류장(19142),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
70,영등포구,영등포-2022-04,국제금융로7길 46,여의도중학교 버스정류장(19142),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
71,영등포구,영등포-2022-05,당산로 235,"당산역.2호선,2번출구(19645)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
72,영등포구,영등포-2022-05,당산로 235,"당산역.2호선,2번출구(19645)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
73,영등포구,영등포-2023-04,문래동3가 54-10,남부지방법원등기국.구로세무서.에이스하이테크시티(중)(19004) 구로구방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
74,영등포구,영등포-2023-04,문래동3가 54-10,남부지방법원등기국.구로세무서.에이스하이테크시티(중)(19004)구로구방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
75,영등포구,영등포-2022-08,문래동1가 10-1,남부지방법원등기국.구로세무서.에이스하이테크시티(중)(19003),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
76,영등포구,영등포-2022-08,문래동1가 10-1,남부지방법원등기국.구로세무서.에이스하이테크시티(중)(19003),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
77,영등포구,영등포-2022-09,영등포동2가 11-12,신길역(19279),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
78,영등포구,영등포-2022-09,영등포동2가 11-12,신길역(19279),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
79,영등포구,영등포-2022-10,여의도동 6,63빌딩(19144),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
80,영등포구,영등포-2022-10,여의도동 6,63빌딩(19144),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
81,영등포구,영등포-2022-11,당산동 37-2,양평한신아파트.선유도공원입구(19214),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
82,영등포구,영등포-2022-11,당산동 37-2,양평한신아파트.선유도공원입구(19214),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
83,영등포구,영등포-2022-12,당산동 37-1,양평한신아파트.선유도공원입구(19216),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
84,영등포구,영등포-2022-12,당산동 37-1,양평한신아파트.선유도공원입구(19216),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
85,영등포구,영등포-2022-13,신길로 39,태양의집(19258),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
86,영등포구,영등포-2022-13,신길로 39,태양의집(19258),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
87,영등포구,영등포-2022-14,신길로 190 ,우신초등학교(19238),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
88,영등포구,영등포-2022-14,신길로 190 ,우신초등학교(19238),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
89,영등포구,영등포-2022-15,대림로 195,대림3동주민센터(19458),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
90,영등포구,영등포-2022-15,대림로 195,대림3동주민센터(19458),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
91,영등포구,영등포-2022-16,도림천로 351,"대림역(19502)5,6번출구 사이","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
92,영등포구,영등포-2022-16,도림천로 351,"대림역(19502)5,6번출구 사이","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
93,영등포구,영등포-2022-17,여의대방로 383,KBS별관(19150),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
94,영등포구,영등포-2022-17,여의대방로 383,KBS별관(19150),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
95,영등포구,영등포-2021-02,여의동로3길10,샛강역4번출구.여의도자이(19154)공군호텔방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
96,영등포구,영등포-2021-02,여의동로3길10,샛강역4번출구.여의도자이(19154)공군호텔방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
97,영등포구,영등포-2022-19,양평로 58,당산역(19172),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
98,영등포구,영등포-2022-19,양평로 58,당산역(19172),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
99,영등포구,-,63로 45,시범아파트앞 교차로 성요셉유치원 방면,도로변(횡단보도 포함),재활용쓰레기,일반 사각 쓰레기통,2018년 이전
100,영등포구,영등포-2023-02,당산로 122,영등포구청(19729)당산삼성아파트방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2024년
101,영등포구,영등포-2023-02,당산로 122,영등포구청(19729)당산삼성아파트방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2024년
102,영등포구,영등포-2022-22,선유로 227,선유고등학교 (19752),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2022년
103,영등포구,영등포-2022-22,선유로 227,선유고등학교 (19752),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2022년
104,영등포구,영등포-2021-04,의사당대로 141,샛강역1번출구.여의도자이(19153)여의도역방면,"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,2023년
105,영등포구,영등포-2021-04,의사당대로 141,샛강역1번출구.여의도자이(19153)여의도역방면,"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,2023년
