소재지도로명,소재지도로명주소,소재지지번주소,상세위치,위도,경도,설치장소유형,수거쓰레기종류,쓰레기통형태,관리기관명,관리기관전화번호,데이터기준일자
구로동로,서울특별시 구로구 구로동로 13,서울특별시 구로구 가리봉동 121-30,,37.48289633,126.8868871,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 25,서울특별시 구로구 가리봉동 88-18,,37.48387266,126.8863248,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
구로동로,서울특별시 구로구 구로동로 31,서울특별시 구로구 가리봉동 25-51,,37.48444034,126.8859907,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로,서울특별시 구로구 남부순환로 1295,서울특별시 구로구 가리봉동 137-4,,37.47911835,126.8948323,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로105길,서울특별시 구로구 남부순환로105길 76,서울특별시 구로구 가리봉동 125-16,,37.48016123,126.8886952,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로105길,서울특별시 구로구 남부순환로105길 134,서울특별시 구로구 가리봉동 121-44,,37.48217645,126.8867218,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로105길,서울특별시 구로구 남부순환로105길 134,서울특별시 구로구 가리봉동 121-44,,37.48217645,126.8867218,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로,서울특별시 구로구 디지털로 226,서울특별시 구로구 가리봉동 134-114,,37.48035893,126.8914234,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로,서울특별시 구로구 디지털로 231,서울특별시 구로구 가리봉동 131-11,,37.48076327,126.891283,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로27길,서울특별시 구로구 디지털로27길 135,서울특별시 구로구 가리봉동 89-99,,37.48484996,126.8865766,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로27길,서울특별시 구로구 디지털로27길 135,서울특별시 구로구 가리봉동 89-99,,37.48484996,126.8865766,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
디지털로27길,서울특별시 구로구 디지털로27길 135,서울특별시 구로구 가리봉동 89-99,,37.48484996,126.8865766,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로23가길,서울특별시 구로구 개봉로23가길 30,서울특별시 구로구 개봉동 416-146,,37.49506475,126.8580465,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로33길,서울특별시 구로구 경인로33길 51,서울특별시 구로구 개봉동 134-8,,37.50024126,126.8511388,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,개봉1동사거리 버스정류장,37.50156787,126.8471623,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 313,서울특별시 구로구 개봉동 146-24,,37.49749954,126.8551588,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 281,서울특별시 구로구 개봉동 139-200,,37.49849715,126.851827,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 101,서울특별시 구로구 개봉동 63-35,,37.50127895,126.8452527,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 85,서울특별시 구로구 개봉동 60-101,,37.50107408,126.8438229,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
고척로,서울특별시 구로구 고척로 102,서울특별시 구로구 개봉동 66-32,,37.50103924,126.8454965,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로33길,서울특별시 구로구 경인로33길 25,서울특별시 구로구 개봉동 139-61,,37.49905708,126.8517194,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
경인로,서울특별시 구로구 경인로 319,서울특별시 구로구 개봉동 156-5,,37.49759938,126.8556011,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,개봉푸르지오 정문,37.50156787,126.8471623,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 63,서울특별시 구로구 개봉동 403-53,,37.49138218,126.8556895,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 71,서울특별시 구로구 개봉동 403-206,,37.49209383,126.8555745,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로19길,서울특별시 구로구 개봉로19길 43,서울특별시 구로구 개봉동 302-21,,37.49360219,126.8555586,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로20길,서울특별시 구로구 개봉로20길 54,서울특별시 구로구 개봉동 407-14,,37.49343625,126.8573608,"정류소(버스, 택시 등)",일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로20길,서울특별시 구로구 개봉로20길 54,서울특별시 구로구 개봉동 407-14,,37.49343625,126.8573608,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로20길,서울특별시 구로구 개봉로20길 74,서울특별시 구로구 개봉동 407-17,,37.49328895,126.8584193,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로20길,서울특별시 구로구 개봉로20길 74,서울특별시 구로구 개봉동 407-17,,37.49328895,126.8584193,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로95길,서울특별시 구로구 남부순환로95길 16,서울특별시 구로구 개봉동 471,삼호아파트 102동 앞,37.49456794,126.8573079,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
남부순환로95길,서울특별시 구로구 남부순환로95길 30,,임괄아파트 2동 앞,,,"정류소(버스, 택시 등)",재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 4,서울특별시 구로구 개봉동 290-6,,37.48610225,126.8567755,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로1길,서울특별시 구로구 개봉로1길 40,서울특별시 구로구 개봉동 367-1,,37.48504966,126.8544668,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 10,서울특별시 구로구 개봉동 403-196,,37.48662187,126.8567122,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 10,서울특별시 구로구 개봉동 403-196,,37.48662187,126.8567122,도로변(횡단보도 포함),재활용,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
개봉로,서울특별시 구로구 개봉로 10,서울특별시 구로구 개봉동 403-196,,37.48662187,126.8567122,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,구로구청 청소행정과,02-860-2918,2023-03-31
