번호,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도,데이터기준일자
1,양천구,1,남부순환로431,서서울호수공원 삼거리 횡단보도앞,⑥ 횡단보도 입구,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
2,양천구,1,남부순환로431,서서울호수공원 삼거리 횡단보도앞,⑥ 횡단보도 입구,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
3,양천구,2,남부순환로411,신월 보건지소 버스정류장 ,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
4,양천구,2,남부순환로411,신월 보건지소 버스정류장 ,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
5,양천구,3,남부순환로357,서부여성발전센터 버스정류장앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
6,양천구,3,남부순환로357,서부여성발전센터 버스정류장앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
7,양천구,4,화곡로50,신월5동주민센터 버스정류장앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
8,양천구,4,화곡로50,신월5동주민센터 버스정류장앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
9,양천구,5,남부순환로408,현대 오일뱅크 주유소 앞,③ 도로(가로)변,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
10,양천구,5,남부순환로408,현대 오일뱅크 주유소 앞,③ 도로(가로)변,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
11,양천구,6,신월로179,삼성가구점 매장앞,③ 도로(가로)변,① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
12,양천구,6,신월로179,삼성가구점 매장앞,③ 도로(가로)변,② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
13,양천구,7,남부순환로88길,푸른마을3단지 마을버스 정류장,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
14,양천구,7,남부순환로88길,푸른마을3단지 마을버스 정류장,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
15,양천구,8,지양로47,신월7동 문화체육센터 앞,① 정류장(버스 택시 등),① 일반쓰레기 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
16,양천구,8,지양로47,신월7동 문화체육센터 앞,① 정류장(버스 택시 등),② 재활용품 수거용,① 일반 사각쓰레기통,2018년 이전,2023-01-21
