"기준_년_코드(STDR_YY_CODE_SE)","기준_분기_코드(STDR_QU_CODE_SE)","블록코드(BLCK_CODE_SE)","서비스업종코드(SVC_INDUTY_CODE_SE)","분기_매출금액(THSMON_SELNG_AMOUNT_AM)","분기_매출건수(THSMON_SELNG_CO)","주중_매출비율(MDWK_SELNG_RATE)","주말_매출비율(WKEND_SELNG_RATE)","월요일_매출비율(MON_SELNG_RATE)","화요일_매출비율(TUES_SELNG_RATE)","수요일_매출비율(WED_SELNG_RATE)","목요일_매출비율(THUR_SELNG_RATE)","금요일_매출비율(FRI_SELNG_RATE)","토요일_매출비율(SAT_SELNG_RATE)","일요일_매출비율(SUN_SELNG_RATE)","시간대00~06매출비율(TMZON_00_06_SELNG_RATE)","시간대06~11매출비율(TMZON_06_11_SELNG_RATE)","시간대11~14매출비율(TMZON_11_14_SELNG_RATE)","시간대14~17매출비율(TMZON_14_17_SELNG_RATE)","시간대17~21매출비율(TMZON_17_21_SELNG_RATE)","시간대21~24매출비율(TMZON_21_24_SELNG_RATE)","남성_매출비율(ML_SELNG_RATE)","여성_매출비율(FML_SELNG_RATE)","연령대10_매출비율(AGRDE_10_SELNG_RATE)","연령대20_매출비율(AGRDE_20_SELNG_RATE)","연령대30_매출비율(AGRDE_30_SELNG_RATE)","연령대40_매출비율(AGRDE_40_SELNG_RATE)","연령대50_매출비율(AGRDE_50_SELNG_RATE)","연령대60이상_매출비율(AGRDE_60_ABOVE_SELNG_RATE)","주중_매출금액(MDWK_SELNG_AMT)","주말_매출금액(WKEND_SELNG_AMT)","월요일_매출금액(MON_SELNG_AMT)","화요일_매출금액(TUES_SELNG_AMT)","수요일_매출금액(WED_SELNG_AMT)","목요일_매출금액(THUR_SELNG_AMT)","금요일_매출금액(FRI_SELNG_AMT)","토요일_매출금액(SAT_SELNG_AMT)","일요일_매출금액(SUN_SELNG_AMT)","시간대00~06매출금액(TMZON_00_06_SELNG_AMT)","시간대06~11매출금액(TMZON_06_11_SELNG_AMT)","시간대11~14매출금액(TMZON_11_14_SELNG_AMT)","시간대14~17매출금액(TMZON_14_17_SELNG_AMT)","시간대17~21매출금액(TMZON_17_21_SELNG_AMT)","시간대21~24매출금액(TMZON_21_24_SELNG_AMT)","남성_매출금액(ML_SELNG_AMT)","여성_매출금액(FML_SELNG_AMT)","연령대10_매출금액(AGRDE_10_SELNG_AMT)","연령대20_매출금액(AGRDE_20_SELNG_AMT)","연령대30_매출금액(AGRDE_30_SELNG_AMT)","연령대40_매출금액(AGRDE_40_SELNG_AMT)","연령대50_매출금액(AGRDE_50_SELNG_AMT)","연령대60이상_매출금액(AGRDE_60_ABOVE_SELNG_AMT)","주중_매출건수(MDWK_SELNG_CO)","주말_매출건수(WKEND_SELNG_CO)","월요일_매출건수(MON_SELNG_CO)","화요일_매출건수(TUES_SELNG_CO)","수요일_매출건수(WED_SELNG_CO)","목요일_매출건수(THUR_SELNG_CO)","금요일_매출건수(FRI_SELNG_CO)","토요일_매출건수(SAT_SELNG_CO)","일요일_매출건수(SUN_SELNG_CO)","시간대00~06매출건수(TMZON_00_06_SELNG_CO)","시간대06~11매출건수(TMZON_06_11_SELNG_CO)","시간대11~14매출건수(TMZON_11_14_SELNG_CO)","시간대14~17매출건수(TMZON_14_17_SELNG_CO)","시간대17~21매출건수(TMZON_17_21_SELNG_CO)","시간대21~24매출건수(TMZON_21_24_SELNG_CO)","남성_매출건수(ML_SELNG_CO)","여성_매출건수(FML_SELNG_CO)","연령대10_매출건수(AGRDE_10_SELNG_CO)","연령대20_매출건수(AGRDE_20_SELNG_CO)","연령대30_매출건수(AGRDE_30_SELNG_CO)","연령대40_매출건수(AGRDE_40_SELNG_CO)","연령대50_매출건수(AGRDE_50_SELNG_CO)","연령대60이상_매출건수(AGRDE_60_ABOVE_SELNG_CO)","점포수(STOR_CO)","적재일시(LDADNG_DT)"
"2014","1","2*6*9*","CS300008",230161479,41290,71.4,20.5,24.2,10.5,10.2,41.7,29.1,19.1,4.3,0,12.8,33.8,0,0,19.5,52.9,59.4,5.5,36,23.2,16.3,50,0.8,12155194,0,870650,0,85387588,4136395,8338025,3062265,7923073,0,5130669,9407895,1513537,11873217,3638601,470426735,1110132689,0,270858,19366111,0,44959121,0,0,279,1435,16914,11143,14,0,20,795,0,338,52,8277,1152,129,1436,13381,461,0,13338,227,27,2277,1,"2019-09-20 14:26:16"
"2019","3","1*2*7*","CS300007",72453158,201,73.5,14.1,12.8,7.6,14.7,12.8,15.3,21.1,6.8,0,0,0,3.4,0,18.9,52.9,44.6,0.1,0,7.3,76.8,22.5,18.1,13812673,8085138,10318077,10769376,6826010,5720264,353488,6548073,257367,0,0,2770689,40791,59374418,86858576,22136486,145896914,0,3308748,1026298,21775057,4039330,75000,430,6,341,452,24,134,136,120,3691,54,90,8709,18,381,0,1975,11129,1075,3042,0,68,253,30,2,"2019-09-20 14:26:16"
"2013","3","9*3*5","CS200006",24000000,201,70.6,11.1,82.5,23.7,83.3,18.8,20.9,0,0,66.7,17.9,3.6,39.3,11.1,0,72.4,59.3,0.2,4,4.1,47.6,27,66.7,169299330,6395696,0,20854080,5207120,0,12181603,107128138,0,0,483204,507630,42565615,1979323,0,3639507,40643334,0,2592164,52459025,3698630,8313555,67322080,1008,252,105,367,11,57,1033,113,288,156,12295,1016,0,126,4933,0,665,0,42,116,228,1632,1085,4,"2019-09-20 14:26:16"
"2015","2","2*2*6*","CS300005",389955604,9123,91.7,20.8,0.4,10.8,22.4,17.6,10.7,9,5.6,0,0,15.8,31.3,25.8,0.3,52.6,8,1.9,62.8,24.7,36.7,0,13,67022155,537029,12027532,64136093,48647179,25631772,2797990,953158,0,0,1653022,32487156,4572295,42956511,0,51821488,334076,305148,16228166,25692864,1936822,65854,161963678,137,101,4,1707,65,52,0,3528,0,0,10,420,0,4317,25,1546,43,0,54,166,100,0,5763,1,"2019-09-20 14:26:16"
"2017","4","3*3*6*","CS100009",14487927,20280,92.4,5.2,0,13.9,9,33.5,13.6,15.8,0,2.2,15.1,0,22.4,8.4,43.3,100,41.4,7.4,4.8,18,4.6,26.3,1.9,13253861,2365650,2451613,9727102,215621,32687217,179196931,0,3316975,0,0,21763986,609010,439556,0,14537721,67543220,89608,0,40721088,19147861,0,234097,164,11,177,105,649,223,835,6547,8,0,142,4206,299,50,0,150,226,0,4427,56,134,2042,3455,1,"2019-09-20 14:26:16"
"2019","1","1*0*3*","CS300008",2630652,910,100,43.2,0,5.5,15.2,13,0,0,11.5,0,21.7,24,39.3,33.3,26,61.5,0,0,18.8,0,25.2,30.2,6.4,27955941,0,435548380,26961245,15153009,14262895,7613176,21056192,0,0,38415974,68160114,9973645,23383991,0,213502539,16671875,0,8900878,114674,5682153,558607519,1570323,263,689,2449,17,47,0,60,98,584,27,0,4335,2558,38,903,1282,9,14,10,118,739,115,1307,1,"2019-09-20 14:26:16"
"2014","4","2*1*0*","CS100005",99118324,756,19.3,24.6,24.2,16.8,17.8,16.5,13.3,8.9,0,0,0,0,27.5,39.2,4,13.5,34.7,2,26.8,44.3,12.5,33.5,7.1,66326657,2716608,777683,22855426,1874121,14506411,2239877,2381985,0,0,5598892,117739763,103103735,74002443,150129,9239230,5479195,0,4499417,63670477,0,86965148,79048,70,10647,172,5,7518,130,0,363,603,0,0,1124,0,80,0,79707,1702,0,6441,64,0,20,2482,3,"2019-09-20 14:26:16"
"2017","4","2*1*2*","CS200010",12506329,14985,50.3,34.3,4.3,11.7,13.5,20.5,50,0,10.8,6.2,4.9,38,34.2,33,12.8,64.3,42.3,0,9.4,24.6,39.3,42.6,1.5,101500485,1826425,13303182,0,6224317,0,165322909,3121916,2072654,0,20579321,1965088,3523767,236506342,4530571,82175260,25761538,0,69667695,15127081,0,31125335,67256674,55,66,0,66,404,125,0,818,8481,0,2381,193,3314,2998,922,2810,16,0,0,782,104,18,31,2,"2019-09-20 14:26:16"
"2018","3","3*5*0*","CS200016",27325987,853,93.6,14.1,13.4,57.2,5.8,17.2,14.9,18.7,0,0,3,38.3,31.3,100,0,73.6,58,2.4,9.5,16.6,47.1,29.9,0,43641484,18648471,0,4563055,4811838,5234196,27223221,4435288,0,950467,0,4571166,25917500,3410369,49522480,6551945,8900246,465662,17247577,6395936,2770289,15737219,1073216,478,600,32,105,184,141,78,485,0,0,0,340,1768,77,391,392,0,65,7,455,53,244,461,1,"2019-09-20 14:26:16"
"2015","4","1*5*3","CS100006",177453639,6361,84.8,0,33.3,20.7,19.2,14.2,33.5,13.2,0,2.4,0,19.8,39.9,35,1.8,41.6,69,0,21.2,4.5,7.2,14.6,3.3,14230294,12993022,34131449,0,3814390,0,22299442,122570,2240404,431269,1258778,29813258,3673727,7276359,67866128,37752191,60914765,6307314,344147,40840150,4201212,20610417,0,2679,6179,1122,1218,759,159,155,271,12004,0,0,135,516,1160,500,4425,535,0,10,58,90,59,24,3,"2019-09-20 14:26:16"
